[67015-2035] HAUTE PROTECTION High Protection Tinted Compact Broad Spectrum SPF 50 Honey (TITANIUM DIOXIDE, ZINC OXIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** TITANIUM DIOXIDE; ZINC OXIDE  **Strength:** 13.7; 4.9 g/100g; g/100g  **Dosage form:** Cream  **Route:** Topical  **Labeler:** Pierre Fabre USA Inc.  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67015-2036] HAUTE PROTECTION High Protection Tinted Compact Broad Spectrum SPF 50 Beige (TITANIUM DIOXIDE, ZINC OXIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** TITANIUM DIOXIDE; ZINC OXIDE  **Strength:** 13.7; 4.9 g/100g; g/100g  **Dosage form:** Cream  **Route:** Topical  **Labeler:** Pierre Fabre USA Inc.  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67038-203] Bliss Block Star Sheer Liquid Daily Sunscreen SPF 50 (Zinc Oxide) -- **Product type:** Human Otc Drug  **Active ingredient:** ZINC OXIDE  **Strength:** 20 g/100mL  **Dosage form:** Lotion  **Route:** Topical  **Labeler:** Bliss Products Holdings LLC  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67091-300] menthol cough drops (menthol) -- **Product type:** Human Otc Drug  **Active ingredient:** MENTHOL  **Strength:** 5.4 mg/1  **Dosage form:** Lozenge  **Route:** Oral  **Labeler:** Winco Foods  **Marketing category:** OTC MONOGRAPH DRUG (M012)
[67091-301] cherry cough drops (menthol) -- **Product type:** Human Otc Drug  **Active ingredient:** MENTHOL  **Strength:** 5.8 mg/1  **Dosage form:** Lozenge  **Route:** Oral  **Labeler:** Winco Foods  **Marketing category:** OTC MONOGRAPH DRUG (M012)
[67091-302] honey lemon cough drops (menthol) -- **Product type:** Human Otc Drug  **Active ingredient:** MENTHOL  **Strength:** 7.5 mg/1  **Dosage form:** Lozenge  **Route:** Oral  **Labeler:** Winco Foods  **Marketing category:** OTC MONOGRAPH DRUG (M012)
[67091-303] Sugar Free Menthol Cough Drops (Menthol) -- **Product type:** Human Otc Drug  **Active ingredient:** MENTHOL  **Strength:** 5.8 mg/1  **Dosage form:** Lozenge  **Route:** Oral  **Labeler:** Winco Foods  **Marketing category:** OTC MONOGRAPH DRUG (M012)
[67091-307] Rubbing Alcohol (Isopropyl alcohol) -- **Product type:** Human Otc Drug  **Active ingredient:** ISOPROPYL ALCOHOL  **Strength:** 91 mL/100mL  **Dosage form:** Liquid  **Route:** Topical  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M003)
[67091-310] Winco Original Formula Eye Drops (Tetrahydrozoline HCl) -- **Product type:** Human Otc Drug  **Active ingredient:** TETRAHYDROZOLINE HYDROCHLORIDE  **Strength:** .05 g/100mL  **Dosage form:** Solution/ Drops  **Route:** Ophthalmic  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M018)
[67091-311] childrens acetaminophen (Acetaminophen) -- **Product type:** Human Otc Drug  **Active ingredient:** ACETAMINOPHEN  **Strength:** 160 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M013)
[67091-314] Mucus Relief DM Expectorant and Cough Suppressant (Guaifenesin and Dextromethorphan HBr) -- **Product type:** Human Otc Drug  **Active ingredient:** DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN  **Strength:** 30; 600 mg/1; mg/1  **Dosage form:** Tablet, Extended Release  **Route:** Oral  **Labeler:** Winco Foods, LLC.  **Marketing category:** ANDA (ANDA206941)  **Pharmacologic class:** Decreased Respiratory Secretion Viscosity [PE], Expectorant [EPC], Increased Respiratory Secretions [PE], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]
[67091-315] Mucus Relief DM Expectorant and Cough Suppressant Maximum Strength (Guaifenesin and Dextromethorphan HBr) -- **Product type:** Human Otc Drug  **Active ingredient:** DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN  **Strength:** 60; 1200 mg/1; mg/1  **Dosage form:** Tablet, Extended Release  **Route:** Oral  **Labeler:** Winco Foods, LLC.  **Marketing category:** ANDA (ANDA206941)  **Pharmacologic class:** Decreased Respiratory Secretion Viscosity [PE], Expectorant [EPC], Increased Respiratory Secretions [PE], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]
[67091-316] Acid Reducer (Omeprazole) -- **Product type:** Human Otc Drug  **Active ingredient:** OMEPRAZOLE MAGNESIUM  **Strength:** 20 mg/1  **Dosage form:** Tablet, Delayed Release  **Route:** Oral  **Labeler:** Winco Foods, LLC.  **Marketing category:** ANDA (ANDA206877)  **Pharmacologic class:** Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]
[67091-322] Severe Cold and Cough Daytime (ACETAMINOPHEN, DEXTROMETHORPHAN, PHENYLEPHRINE) -- **Product type:** Human Otc Drug  **Active ingredient:** ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE  **Strength:** 650; 20; 10 mg/1; mg/1; mg/1  **Dosage form:** Powder, For Solution  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Adrenergic alpha1-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-1 Adrenergic Agonist [EPC]
[67091-323] Severe Cold and Cough Nighttime (ACETAMINOPHEN, DIPHENHYDRAMINE, PHENYLEPHRINE) -- **Product type:** Human Otc Drug  **Active ingredient:** ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE; PHENYLEPHRINE HYDROCHLORIDE  **Strength:** 650; 25; 10 mg/1; mg/1; mg/1  **Dosage form:** Powder, For Solution  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Adrenergic alpha1-Agonists [MoA], Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], alpha-1 Adrenergic Agonist [EPC]
[67091-324] Extra Moisturizing Nasal Pump Mist (oxymetazoline hydrochloride) -- **Product type:** Human Otc Drug  **Active ingredient:** OXYMETAZOLINE HYDROCHLORIDE  **Strength:** .05 g/100mL  **Dosage form:** Spray  **Route:** Nasal  **Labeler:** WinCo FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Imidazolines [CS], Increased Sympathetic Activity [PE], Vasoconstriction [PE], Vasoconstrictor [EPC]
[67091-325] Severe Congestion Nasal Anti-Drip Nasal Decongestant (Oxymetazoline hydrochloride) -- **Product type:** Human Otc Drug  **Active ingredient:** OXYMETAZOLINE HYDROCHLORIDE  **Strength:** .05 g/100mL  **Dosage form:** Spray  **Route:** Nasal  **Labeler:** WinCo FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Imidazolines [CS], Increased Sympathetic Activity [PE], Vasoconstriction [PE], Vasoconstrictor [EPC]
[67091-326] ORIGINAL Nasal PUMP MIST (oxymetazoline hydrochloride) -- **Product type:** Human Otc Drug  **Active ingredient:** OXYMETAZOLINE HYDROCHLORIDE  **Strength:** .05 g/100mL  **Dosage form:** Spray  **Route:** Nasal  **Labeler:** WinCo FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Imidazolines [CS], Increased Sympathetic Activity [PE], Vasoconstriction [PE], Vasoconstrictor [EPC]
[67091-327] WinCo Foods Saline Nasal Relief (Sodium Chloride) -- **Product type:** Human Otc Drug  **Active ingredient:** SODIUM CHLORIDE  **Strength:** .65 g/100mL  **Dosage form:** Spray  **Route:** Nasal  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH FINAL (part349)
[67091-328] Stool Softener (docusate sodium and sennosides) -- **Product type:** Human Otc Drug  **Active ingredient:** DOCUSATE SODIUM; SENNOSIDES  **Strength:** 50; 8.6 mg/1; mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (505G(a)(3))
[67091-334] Menstrual Complete (Acetaminophen, Caffeine, Pyrilamine maleate) -- **Product type:** Human Otc Drug  **Active ingredient:** ACETAMINOPHEN; CAFFEINE; PYRILAMINE MALEATE  **Strength:** 500; 60; 15 mg/1; mg/1; mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M013)  **Pharmacologic class:** Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Methylxanthine [EPC], Xanthines [CS]
[67091-335] Anti-Diarrheal (Loperamide HCl) -- **Product type:** Human Otc Drug  **Active ingredient:** LOPERAMIDE HYDROCHLORIDE  **Strength:** 2 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** ANDA (ANDA076497)  **Pharmacologic class:** Opioid Agonist [EPC], Opioid Agonists [MoA]
[67091-336] Daytime Nighttime Cold and Flu Relief (Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCL) -- **Product type:** Human Otc Drug  **Dosage form:** Kit  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)
[67091-338] Night Time Cold and Flu Relief (ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE) -- **Product type:** Human Otc Drug  **Active ingredient:** ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE  **Strength:** 325; 15; 6.25 mg/1; mg/1; mg/1  **Dosage form:** Capsule, Liquid Filled  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Antihistamine [EPC], Histamine Receptor Antagonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]
[67091-339] Sleep Aid (Diphenhydramine HCl) -- **Product type:** Human Otc Drug  **Active ingredient:** DIPHENHYDRAMINE HYDROCHLORIDE  **Strength:** 25 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M010)  **Pharmacologic class:** Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]
[67091-342] Mucus Relief DM (Dextromethorphan HBr and Guaifenesin) -- **Product type:** Human Otc Drug  **Active ingredient:** DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN  **Strength:** 20; 400 mg/20mL; mg/20mL  **Dosage form:** Solution  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Decreased Respiratory Secretion Viscosity [PE], Expectorant [EPC], Increased Respiratory Secretions [PE], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]
[67091-344] Mucus Relief DM (Guaifenesin, Dextromethorphan HBr) -- **Product type:** Human Otc Drug  **Active ingredient:** DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN  **Strength:** 30; 600 mg/1; mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** ANDA (ANDA209692)  **Pharmacologic class:** Decreased Respiratory Secretion Viscosity [PE], Expectorant [EPC], Increased Respiratory Secretions [PE], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]
[67091-345] Mucus Relief DM (Guaifenesin, Dextromethorphan HBr) -- **Product type:** Human Otc Drug  **Active ingredient:** DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN  **Strength:** 60; 1200 mg/1; mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** ANDA (ANDA209692)  **Pharmacologic class:** Decreased Respiratory Secretion Viscosity [PE], Expectorant [EPC], Increased Respiratory Secretions [PE], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]
[67091-347] Ibuprofen (Ibuprofen) -- **Product type:** Human Otc Drug  **Active ingredient:** IBUPROFEN  **Strength:** 200 mg/1  **Dosage form:** Tablet, Coated  **Route:** Oral  **Labeler:** Winco Foods, LLC  **Marketing category:** ANDA (ANDA079174)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]
[67091-348] Ibuprofen (Ibuprofen) -- **Product type:** Human Otc Drug  **Active ingredient:** IBUPROFEN  **Strength:** 200 mg/1  **Dosage form:** Tablet, Coated  **Route:** Oral  **Labeler:** Winco Foods, LLC  **Marketing category:** ANDA (ANDA079174)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]
[67091-349] Nasal Decongestant PE and Pain Relief Plus Mucus Relief (ACETAMINOPHEN, GUAIFENESIN, and PHENYLEPHRINE HYDROCHLORIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** ACETAMINOPHEN; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE  **Strength:** 325; 200; 5 mg/1; mg/1; mg/1  **Dosage form:** Tablet, Coated  **Route:** Oral  **Labeler:** Winco Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Adrenergic alpha1-Agonists [MoA], Decreased Respiratory Secretion Viscosity [PE], Expectorant [EPC], Increased Respiratory Secretions [PE], alpha-1 Adrenergic Agonist [EPC]
[67091-350] Allergy Relief (Loratadine) -- **Product type:** Human Otc Drug  **Active ingredient:** LORATADINE  **Strength:** 10 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** ANDA (ANDA075209)
[67091-351] Allergy Relief (Cetirizine HCl) -- **Product type:** Human Otc Drug  **Active ingredient:** CETIRIZINE HYDROCHLORIDE  **Strength:** 10 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** ANDA (ANDA209274)  **Pharmacologic class:** Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]
[67091-352] Epsom Salt (Magnesium sulfate) -- **Product type:** Human Otc Drug  **Active ingredient:** MAGNESIUM SULFATE, UNSPECIFIED  **Strength:** 1 g/g  **Dosage form:** Granule  **Route:** Oral; Topical  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M007)  **Pharmacologic class:** Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]
[67091-354] Winco Foods Childrens Allergy Relief (Diphenhydramine hydrochloride) -- **Product type:** Human Otc Drug  **Active ingredient:** DIPHENHYDRAMINE HYDROCHLORIDE  **Strength:** 12.5 mg/5mL  **Dosage form:** Solution  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]
[67091-355] Winco Foods Childrens Multi Symptom Cold (Dextromethorphan Hydrobromide, Guaifenesin, and Phenylephrine Hydrochloride) -- **Product type:** Human Otc Drug  **Active ingredient:** DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE  **Strength:** 5; 100; 2.5 mg/5mL; mg/5mL; mg/5mL  **Dosage form:** Suspension  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Adrenergic alpha1-Agonists [MoA], Decreased Respiratory Secretion Viscosity [PE], Expectorant [EPC], Increased Respiratory Secretions [PE], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-1 Adrenergic Agonist [EPC]
[67091-356] WinCo FOODS Antacid (Calcium Carbonate) -- **Product type:** Human Otc Drug  **Active ingredient:** CALCIUM CARBONATE  **Strength:** 500 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M001)  **Pharmacologic class:** Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]
[67091-357] WinCo FOODS Antacid (Calcium Carbonate) -- **Product type:** Human Otc Drug  **Active ingredient:** CALCIUM CARBONATE  **Strength:** 500 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M001)
[67091-358] WinCo FOODS Antacid (Calcium carbonate) -- **Product type:** Human Otc Drug  **Active ingredient:** CALCIUM CARBONATE  **Strength:** 1000 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M001)
[67091-359] WinCo FOODS Antacid (Calcium Carbonate) -- **Product type:** Human Otc Drug  **Active ingredient:** CALCIUM CARBONATE  **Strength:** 750 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M001)
[67091-360] WinCo FOODS Antacid (Calcium Carbonate) -- **Product type:** Human Otc Drug  **Active ingredient:** CALCIUM CARBONATE  **Strength:** 750 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M001)
[67091-361] WinCo FOODS Extra Strength (Simethicone) -- **Product type:** Human Otc Drug  **Active ingredient:** DIMETHICONE, UNSPECIFIED  **Strength:** 125 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M002)  **Pharmacologic class:** Skin Barrier Activity [PE]
[67091-362] WinCo FOODS Stomach Relief (Bismuth Subsalicylate) -- **Product type:** Human Otc Drug  **Active ingredient:** BISMUTH SUBSALICYLATE  **Strength:** 525 mg/30mL  **Dosage form:** Suspension  **Route:** Oral  **Labeler:** WINCO FOODS  **Marketing category:** OTC MONOGRAPH DRUG (M008)  **Pharmacologic class:** Bismuth [CS], Bismuth [EPC]
[67091-363] WinCo FOODS Ultra Strength (Bismuth subsalicylate) -- **Product type:** Human Otc Drug  **Active ingredient:** BISMUTH SUBSALICYLATE  **Strength:** 525 mg/15mL  **Dosage form:** Suspension  **Route:** Oral  **Labeler:** WINCO FOODS  **Marketing category:** OTC MONOGRAPH DRUG (M008)  **Pharmacologic class:** Bismuth [CS], Bismuth [EPC]
[67091-364] WinCo FOODS Stomach Relief (Bismuth Subsalicylate) -- **Product type:** Human Otc Drug  **Active ingredient:** BISMUTH SUBSALICYLATE  **Strength:** 262 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WINCO FOODS LLC  **Marketing category:** OTC MONOGRAPH DRUG (M008)
[67091-365] WinCo FOODS Antacid (Calcium Carbonate) -- **Product type:** Human Otc Drug  **Active ingredient:** CALCIUM CARBONATE  **Strength:** 1000 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M001)
[67091-366] Winco Stool Softener (DOCUSATE SODIUM) -- **Product type:** Human Otc Drug  **Active ingredient:** DOCUSATE SODIUM  **Strength:** 100 mg/1  **Dosage form:** Capsule, Liquid Filled  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M007)
[67091-368] Ibuprofen IB (Ibuprofen) -- **Product type:** Human Otc Drug  **Active ingredient:** IBUPROFEN  **Strength:** 200 mg/1  **Dosage form:** Tablet, Coated  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** ANDA (ANDA202312)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]
[67091-369] Ibuprofen IB (Ibuprofen) -- **Product type:** Human Otc Drug  **Active ingredient:** IBUPROFEN  **Strength:** 200 mg/1  **Dosage form:** Tablet, Coated  **Route:** Oral  **Labeler:** WINCO FOODS, LLC  **Marketing category:** ANDA (ANDA202312)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]
[67091-370] Mucus Relief (Guaifenesin) -- **Product type:** Human Otc Drug  **Active ingredient:** GUAIFENESIN  **Strength:** 600 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** ANDA (ANDA207342)  **Pharmacologic class:** Decreased Respiratory Secretion Viscosity [PE], Expectorant [EPC], Increased Respiratory Secretions [PE]
[67091-371] Daytime Nighttime Cold and Flu (Acetaminophen Dextromethorphan HBr Phenylephrine HCI DoxylamineSucinate) -- **Product type:** Human Otc Drug  **Dosage form:** Kit  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)
[67091-372] WinCo Foods Oil Free Acne Wash with Pink Grapefruit (Salicylic Acid) -- **Product type:** Human Otc Drug  **Active ingredient:** SALICYLIC ACID  **Strength:** 20 mg/mL  **Dosage form:** Lotion  **Route:** Topical  **Labeler:** WINCO FOODS, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M006)
[67091-373] Stool Softener Laxative (docusate sodium and sennosides) -- **Product type:** Human Otc Drug  **Active ingredient:** DOCUSATE SODIUM; SENNOSIDES  **Strength:** 50; 8.6 mg/1; mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (505G(a)(3))
[67091-377] 12 Hour Nasal Decongestant Extra Moisturizing (Nasal Spray) -- **Product type:** Human Otc Drug  **Active ingredient:** OXYMETAZOLINE HYDROCHLORIDE  **Strength:** 50 mg/100mL  **Dosage form:** Liquid  **Route:** Nasal  **Labeler:** WinCo Foods LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Imidazolines [CS], Increased Sympathetic Activity [PE], Vasoconstriction [PE], Vasoconstrictor [EPC]
[67091-378] 12 Hour Original Nasal Decongestant (Nasal Spray) -- **Product type:** Human Otc Drug  **Active ingredient:** OXYMETAZOLINE HYDROCHLORIDE  **Strength:** 50 mg/100mL  **Dosage form:** Liquid  **Route:** Nasal  **Labeler:** WinCo Foods LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)  **Pharmacologic class:** Imidazolines [CS], Increased Sympathetic Activity [PE], Vasoconstriction [PE], Vasoconstrictor [EPC]
[67091-379] WinCo Foods Gas Relief (Simethicone) -- **Product type:** Human Otc Drug  **Active ingredient:** DIMETHICONE  **Strength:** 125 mg/1  **Dosage form:** Capsule, Liquid Filled  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M002)  **Pharmacologic class:** Skin Barrier Activity [PE]
[67091-380] Winco Stool Softener (DOCUSATE SODIUM) -- **Product type:** Human Otc Drug  **Active ingredient:** DOCUSATE SODIUM  **Strength:** 100 mg/1  **Dosage form:** Capsule, Liquid Filled  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M007)
[67091-386] Allergy Relief (Fexofenadine HCl) -- **Product type:** Human Otc Drug  **Active ingredient:** FEXOFENADINE HYDROCHLORIDE  **Strength:** 180 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** WinCo Foods  **Marketing category:** ANDA (ANDA211075)  **Pharmacologic class:** Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]
[67091-387] Winco Foods (BENZALKONIUM CHLORIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** BENZALKONIUM CHLORIDE  **Strength:** 130 mg/100mL  **Dosage form:** Soap  **Route:** Topical  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (505G(a)(3))
[67091-389] Low Dose Aspirin (ASPIRIN) -- **Product type:** Human Otc Drug  **Active ingredient:** ASPIRIN  **Strength:** 81 mg/1  **Dosage form:** Tablet, Chewable  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M013)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC]
[67091-390] Tolnaftate (Foot Odor Control Powder Spray) -- **Product type:** Human Otc Drug  **Active ingredient:** TOLNAFTATE  **Strength:** 1.3 g/113g  **Dosage form:** Aerosol, Spray  **Route:** Topical  **Labeler:** Winco Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M005)
[67091-391] Tolnaftate (Antifungal Liquid Spray) -- **Product type:** Human Otc Drug  **Active ingredient:** TOLNAFTATE  **Strength:** 1.5 g/150g  **Dosage form:** Aerosol, Spray  **Route:** Topical  **Labeler:** Winco Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M005)
[67091-392] Miconazole Nitrate (Antifungal Miconazole Powder Spray) -- **Product type:** Human Otc Drug  **Active ingredient:** MICONAZOLE NITRATE  **Strength:** 2.6 g/130g  **Dosage form:** Aerosol, Spray  **Route:** Topical  **Labeler:** Winco Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M005)  **Pharmacologic class:** Azole Antifungal [EPC], Azoles [CS]
[67091-393] Daytime Nighttime Cold Flu Relief (Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCL) -- **Product type:** Human Otc Drug  **Dosage form:** Kit  **Route:** Oral  **Labeler:** WinCo Foods, LLC  **Marketing category:** OTC MONOGRAPH DRUG (M012)
