[0Q] Lower Bones -- Body system (Lower Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0Q2] Lower Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YX0Z] Change Drainage Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YXYZ] Change Other Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q5] Lower Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0QHG3DZ] Insertion of Hybrid External Fixation Device into Right Tibia, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHG44Z] Insertion of Internal Fixation Device into Right Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHG45Z] Insertion of External Fixation Device into Right Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHG46Z] Insertion of Intramedullary Internal Fixation Device into Right Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHG47Z] Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Right Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHG48Z] Insertion of Limb Lengthening External Fixation Device into Right Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHG4BZ] Insertion of Monoplanar External Fixation Device into Right Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHG4CZ] Insertion of Ring External Fixation Device into Right Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHG4DZ] Insertion of Hybrid External Fixation Device into Right Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH04Z] Insertion of Internal Fixation Device into Left Tibia, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH05Z] Insertion of External Fixation Device into Left Tibia, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH06Z] Insertion of Intramedullary Internal Fixation Device into Left Tibia, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH07Z] Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Left Tibia, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH08Z] Insertion of Limb Lengthening External Fixation Device into Left Tibia, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH0BZ] Insertion of Monoplanar External Fixation Device into Left Tibia, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH0CZ] Insertion of Ring External Fixation Device into Left Tibia, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH0DZ] Insertion of Hybrid External Fixation Device into Left Tibia, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH34Z] Insertion of Internal Fixation Device into Left Tibia, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH35Z] Insertion of External Fixation Device into Left Tibia, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH36Z] Insertion of Intramedullary Internal Fixation Device into Left Tibia, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH37Z] Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Left Tibia, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH38Z] Insertion of Limb Lengthening External Fixation Device into Left Tibia, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH3BZ] Insertion of Monoplanar External Fixation Device into Left Tibia, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH3CZ] Insertion of Ring External Fixation Device into Left Tibia, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH3DZ] Insertion of Hybrid External Fixation Device into Left Tibia, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH44Z] Insertion of Internal Fixation Device into Left Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH45Z] Insertion of External Fixation Device into Left Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH46Z] Insertion of Intramedullary Internal Fixation Device into Left Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH47Z] Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Left Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH48Z] Insertion of Limb Lengthening External Fixation Device into Left Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH4BZ] Insertion of Monoplanar External Fixation Device into Left Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH4CZ] Insertion of Ring External Fixation Device into Left Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHH4DZ] Insertion of Hybrid External Fixation Device into Left Tibia, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ04Z] Insertion of Internal Fixation Device into Right Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ05Z] Insertion of External Fixation Device into Right Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ06Z] Insertion of Intramedullary Internal Fixation Device into Right Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ08Z] Insertion of Limb Lengthening External Fixation Device into Right Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ0BZ] Insertion of Monoplanar External Fixation Device into Right Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ0CZ] Insertion of Ring External Fixation Device into Right Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ0DZ] Insertion of Hybrid External Fixation Device into Right Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ34Z] Insertion of Internal Fixation Device into Right Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ35Z] Insertion of External Fixation Device into Right Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ36Z] Insertion of Intramedullary Internal Fixation Device into Right Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ38Z] Insertion of Limb Lengthening External Fixation Device into Right Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ3BZ] Insertion of Monoplanar External Fixation Device into Right Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ3CZ] Insertion of Ring External Fixation Device into Right Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ3DZ] Insertion of Hybrid External Fixation Device into Right Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ44Z] Insertion of Internal Fixation Device into Right Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ45Z] Insertion of External Fixation Device into Right Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ46Z] Insertion of Intramedullary Internal Fixation Device into Right Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ48Z] Insertion of Limb Lengthening External Fixation Device into Right Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ4BZ] Insertion of Monoplanar External Fixation Device into Right Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ4CZ] Insertion of Ring External Fixation Device into Right Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHJ4DZ] Insertion of Hybrid External Fixation Device into Right Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK04Z] Insertion of Internal Fixation Device into Left Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK05Z] Insertion of External Fixation Device into Left Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK06Z] Insertion of Intramedullary Internal Fixation Device into Left Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK08Z] Insertion of Limb Lengthening External Fixation Device into Left Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK0BZ] Insertion of Monoplanar External Fixation Device into Left Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK0CZ] Insertion of Ring External Fixation Device into Left Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK0DZ] Insertion of Hybrid External Fixation Device into Left Fibula, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK34Z] Insertion of Internal Fixation Device into Left Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK35Z] Insertion of External Fixation Device into Left Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK36Z] Insertion of Intramedullary Internal Fixation Device into Left Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK38Z] Insertion of Limb Lengthening External Fixation Device into Left Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK3BZ] Insertion of Monoplanar External Fixation Device into Left Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK3CZ] Insertion of Ring External Fixation Device into Left Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK3DZ] Insertion of Hybrid External Fixation Device into Left Fibula, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK44Z] Insertion of Internal Fixation Device into Left Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK45Z] Insertion of External Fixation Device into Left Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK46Z] Insertion of Intramedullary Internal Fixation Device into Left Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK48Z] Insertion of Limb Lengthening External Fixation Device into Left Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK4BZ] Insertion of Monoplanar External Fixation Device into Left Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK4CZ] Insertion of Ring External Fixation Device into Left Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHK4DZ] Insertion of Hybrid External Fixation Device into Left Fibula, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHL04Z] Insertion of Internal Fixation Device into Right Tarsal, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHL05Z] Insertion of External Fixation Device into Right Tarsal, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHL34Z] Insertion of Internal Fixation Device into Right Tarsal, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHL35Z] Insertion of External Fixation Device into Right Tarsal, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHL44Z] Insertion of Internal Fixation Device into Right Tarsal, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHL45Z] Insertion of External Fixation Device into Right Tarsal, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHM04Z] Insertion of Internal Fixation Device into Left Tarsal, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHM05Z] Insertion of External Fixation Device into Left Tarsal, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHM34Z] Insertion of Internal Fixation Device into Left Tarsal, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHM35Z] Insertion of External Fixation Device into Left Tarsal, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHM44Z] Insertion of Internal Fixation Device into Left Tarsal, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHM45Z] Insertion of External Fixation Device into Left Tarsal, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHN04Z] Insertion of Internal Fixation Device into Right Metatarsal, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHN05Z] Insertion of External Fixation Device into Right Metatarsal, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHN34Z] Insertion of Internal Fixation Device into Right Metatarsal, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHN35Z] Insertion of External Fixation Device into Right Metatarsal, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHN44Z] Insertion of Internal Fixation Device into Right Metatarsal, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHN45Z] Insertion of External Fixation Device into Right Metatarsal, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHP04Z] Insertion of Internal Fixation Device into Left Metatarsal, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHP05Z] Insertion of External Fixation Device into Left Metatarsal, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHP34Z] Insertion of Internal Fixation Device into Left Metatarsal, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHP35Z] Insertion of External Fixation Device into Left Metatarsal, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHP44Z] Insertion of Internal Fixation Device into Left Metatarsal, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHP45Z] Insertion of External Fixation Device into Left Metatarsal, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHQ04Z] Insertion of Internal Fixation Device into Right Toe Phalanx, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHQ05Z] Insertion of External Fixation Device into Right Toe Phalanx, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHQ34Z] Insertion of Internal Fixation Device into Right Toe Phalanx, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHQ35Z] Insertion of External Fixation Device into Right Toe Phalanx, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHQ44Z] Insertion of Internal Fixation Device into Right Toe Phalanx, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHQ45Z] Insertion of External Fixation Device into Right Toe Phalanx, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHR04Z] Insertion of Internal Fixation Device into Left Toe Phalanx, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHR05Z] Insertion of External Fixation Device into Left Toe Phalanx, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHR34Z] Insertion of Internal Fixation Device into Left Toe Phalanx, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHR35Z] Insertion of External Fixation Device into Left Toe Phalanx, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHR44Z] Insertion of Internal Fixation Device into Left Toe Phalanx, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHR45Z] Insertion of External Fixation Device into Left Toe Phalanx, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHS04Z] Insertion of Internal Fixation Device into Coccyx, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHS05Z] Insertion of External Fixation Device into Coccyx, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHS34Z] Insertion of Internal Fixation Device into Coccyx, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHS35Z] Insertion of External Fixation Device into Coccyx, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHS44Z] Insertion of Internal Fixation Device into Coccyx, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHS45Z] Insertion of External Fixation Device into Coccyx, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHY0MZ] Insertion of Bone Growth Stimulator into Lower Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHY3MZ] Insertion of Bone Growth Stimulator into Lower Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QHY4MZ] Insertion of Bone Growth Stimulator into Lower Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0QJ] Lower Bones, Inspection -- Visually and/or manually exploring a body part
[0QJY0ZZ] Inspection of Lower Bone, Open Approach -- Visually and/or manually exploring a body part
[0QJY3ZZ] Inspection of Lower Bone, Percutaneous Approach -- Visually and/or manually exploring a body part
[0QJY4ZZ] Inspection of Lower Bone, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0QJYXZZ] Inspection of Lower Bone, External Approach -- Visually and/or manually exploring a body part
[0QN] Lower Bones, Release -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN00ZZ] Release Lumbar Vertebra, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN03ZZ] Release Lumbar Vertebra, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN04ZZ] Release Lumbar Vertebra, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN10ZZ] Release Sacrum, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN13ZZ] Release Sacrum, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN14ZZ] Release Sacrum, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN20ZZ] Release Right Pelvic Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN23ZZ] Release Right Pelvic Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN24ZZ] Release Right Pelvic Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN30ZZ] Release Left Pelvic Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN33ZZ] Release Left Pelvic Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN34ZZ] Release Left Pelvic Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN40ZZ] Release Right Acetabulum, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN43ZZ] Release Right Acetabulum, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN44ZZ] Release Right Acetabulum, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN50ZZ] Release Left Acetabulum, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN53ZZ] Release Left Acetabulum, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN54ZZ] Release Left Acetabulum, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN60ZZ] Release Right Upper Femur, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN63ZZ] Release Right Upper Femur, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN64ZZ] Release Right Upper Femur, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN70ZZ] Release Left Upper Femur, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN73ZZ] Release Left Upper Femur, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN74ZZ] Release Left Upper Femur, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN80ZZ] Release Right Femoral Shaft, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN83ZZ] Release Right Femoral Shaft, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN84ZZ] Release Right Femoral Shaft, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN90ZZ] Release Left Femoral Shaft, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN93ZZ] Release Left Femoral Shaft, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QN94ZZ] Release Left Femoral Shaft, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNB0ZZ] Release Right Lower Femur, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNB3ZZ] Release Right Lower Femur, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNB4ZZ] Release Right Lower Femur, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNC0ZZ] Release Left Lower Femur, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNC3ZZ] Release Left Lower Femur, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNC4ZZ] Release Left Lower Femur, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QND0ZZ] Release Right Patella, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
