[0K] Muscles -- Body system (Muscles) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0K2] Muscles, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XX0Z] Change Drainage Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XXYZ] Change Other Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YX0Z] Change Drainage Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YXYZ] Change Other Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K5] Muscles, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K9V4ZZ] Drainage of Right Foot Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9W00Z] Drainage of Left Foot Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9W0ZX] Drainage of Left Foot Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K9W0ZZ] Drainage of Left Foot Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9W30Z] Drainage of Left Foot Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9W3ZX] Drainage of Left Foot Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K9W3ZZ] Drainage of Left Foot Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9W40Z] Drainage of Left Foot Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9W4ZX] Drainage of Left Foot Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K9W4ZZ] Drainage of Left Foot Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0KB] Muscles, Excision -- Cutting out or off, without replacement, a portion of a body part
[0KB00ZX] Excision of Head Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB00ZZ] Excision of Head Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB03ZX] Excision of Head Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB03ZZ] Excision of Head Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB04ZX] Excision of Head Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB04ZZ] Excision of Head Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB10ZX] Excision of Facial Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB10ZZ] Excision of Facial Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB13ZX] Excision of Facial Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB13ZZ] Excision of Facial Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB14ZX] Excision of Facial Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB14ZZ] Excision of Facial Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB20ZX] Excision of Right Neck Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB20ZZ] Excision of Right Neck Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB23ZX] Excision of Right Neck Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB23ZZ] Excision of Right Neck Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB24ZX] Excision of Right Neck Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB24ZZ] Excision of Right Neck Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB30ZX] Excision of Left Neck Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB30ZZ] Excision of Left Neck Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB33ZX] Excision of Left Neck Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB33ZZ] Excision of Left Neck Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB34ZX] Excision of Left Neck Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB34ZZ] Excision of Left Neck Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB40ZX] Excision of Tongue, Palate, Pharynx Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB40ZZ] Excision of Tongue, Palate, Pharynx Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB43ZX] Excision of Tongue, Palate, Pharynx Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB43ZZ] Excision of Tongue, Palate, Pharynx Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB44ZX] Excision of Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB44ZZ] Excision of Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB50ZX] Excision of Right Shoulder Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB50ZZ] Excision of Right Shoulder Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB53ZX] Excision of Right Shoulder Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB53ZZ] Excision of Right Shoulder Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB54ZX] Excision of Right Shoulder Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB54ZZ] Excision of Right Shoulder Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB60ZX] Excision of Left Shoulder Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB60ZZ] Excision of Left Shoulder Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB63ZX] Excision of Left Shoulder Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB63ZZ] Excision of Left Shoulder Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB64ZX] Excision of Left Shoulder Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB64ZZ] Excision of Left Shoulder Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB70ZX] Excision of Right Upper Arm Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB70ZZ] Excision of Right Upper Arm Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB73ZX] Excision of Right Upper Arm Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB73ZZ] Excision of Right Upper Arm Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB74ZX] Excision of Right Upper Arm Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB74ZZ] Excision of Right Upper Arm Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB80ZX] Excision of Left Upper Arm Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB80ZZ] Excision of Left Upper Arm Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB83ZX] Excision of Left Upper Arm Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB83ZZ] Excision of Left Upper Arm Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB84ZX] Excision of Left Upper Arm Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB84ZZ] Excision of Left Upper Arm Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB90ZX] Excision of Right Lower Arm and Wrist Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB90ZZ] Excision of Right Lower Arm and Wrist Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB93ZX] Excision of Right Lower Arm and Wrist Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB93ZZ] Excision of Right Lower Arm and Wrist Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KB94ZX] Excision of Right Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KB94ZZ] Excision of Right Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBB0ZX] Excision of Left Lower Arm and Wrist Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBB0ZZ] Excision of Left Lower Arm and Wrist Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBB3ZX] Excision of Left Lower Arm and Wrist Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBB3ZZ] Excision of Left Lower Arm and Wrist Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBB4ZX] Excision of Left Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBB4ZZ] Excision of Left Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBC0ZX] Excision of Right Hand Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBC0ZZ] Excision of Right Hand Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBC3ZX] Excision of Right Hand Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBC3ZZ] Excision of Right Hand Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBC4ZX] Excision of Right Hand Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBC4ZZ] Excision of Right Hand Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBD0ZX] Excision of Left Hand Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBD0ZZ] Excision of Left Hand Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBD3ZX] Excision of Left Hand Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBD3ZZ] Excision of Left Hand Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBD4ZX] Excision of Left Hand Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBD4ZZ] Excision of Left Hand Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBF0ZX] Excision of Right Trunk Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBF0ZZ] Excision of Right Trunk Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBF3ZX] Excision of Right Trunk Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBF3ZZ] Excision of Right Trunk Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBF4ZX] Excision of Right Trunk Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBF4ZZ] Excision of Right Trunk Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBG0ZX] Excision of Left Trunk Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBG0ZZ] Excision of Left Trunk Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBG3ZX] Excision of Left Trunk Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBG3ZZ] Excision of Left Trunk Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBG4ZX] Excision of Left Trunk Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBG4ZZ] Excision of Left Trunk Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBH0ZX] Excision of Right Thorax Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBH0ZZ] Excision of Right Thorax Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBH3ZX] Excision of Right Thorax Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBH3ZZ] Excision of Right Thorax Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBH4ZX] Excision of Right Thorax Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBH4ZZ] Excision of Right Thorax Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBJ0ZX] Excision of Left Thorax Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBJ0ZZ] Excision of Left Thorax Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBJ3ZX] Excision of Left Thorax Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBJ3ZZ] Excision of Left Thorax Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBJ4ZX] Excision of Left Thorax Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBJ4ZZ] Excision of Left Thorax Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBK0ZX] Excision of Right Abdomen Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBK0ZZ] Excision of Right Abdomen Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBK3ZX] Excision of Right Abdomen Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBK3ZZ] Excision of Right Abdomen Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBK4ZX] Excision of Right Abdomen Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBK4ZZ] Excision of Right Abdomen Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBL0ZX] Excision of Left Abdomen Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBL0ZZ] Excision of Left Abdomen Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBL3ZX] Excision of Left Abdomen Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBL3ZZ] Excision of Left Abdomen Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBL4ZX] Excision of Left Abdomen Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBL4ZZ] Excision of Left Abdomen Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBM0ZX] Excision of Perineum Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBM0ZZ] Excision of Perineum Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBM3ZX] Excision of Perineum Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBM3ZZ] Excision of Perineum Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBM4ZX] Excision of Perineum Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBM4ZZ] Excision of Perineum Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBN0ZX] Excision of Right Hip Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBN0ZZ] Excision of Right Hip Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBN3ZX] Excision of Right Hip Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBN3ZZ] Excision of Right Hip Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBN4ZX] Excision of Right Hip Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBN4ZZ] Excision of Right Hip Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBP0ZX] Excision of Left Hip Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBP0ZZ] Excision of Left Hip Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBP3ZX] Excision of Left Hip Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBP3ZZ] Excision of Left Hip Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBP4ZX] Excision of Left Hip Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBP4ZZ] Excision of Left Hip Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBQ0ZX] Excision of Right Upper Leg Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBQ0ZZ] Excision of Right Upper Leg Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBQ3ZX] Excision of Right Upper Leg Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBQ3ZZ] Excision of Right Upper Leg Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBQ4ZX] Excision of Right Upper Leg Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBQ4ZZ] Excision of Right Upper Leg Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBR0ZX] Excision of Left Upper Leg Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBR0ZZ] Excision of Left Upper Leg Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBR3ZX] Excision of Left Upper Leg Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBR3ZZ] Excision of Left Upper Leg Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBR4ZX] Excision of Left Upper Leg Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBR4ZZ] Excision of Left Upper Leg Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBS0ZX] Excision of Right Lower Leg Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBS0ZZ] Excision of Right Lower Leg Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBS3ZX] Excision of Right Lower Leg Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBS3ZZ] Excision of Right Lower Leg Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBS4ZX] Excision of Right Lower Leg Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBS4ZZ] Excision of Right Lower Leg Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBT0ZX] Excision of Left Lower Leg Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBT0ZZ] Excision of Left Lower Leg Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBT3ZX] Excision of Left Lower Leg Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBT3ZZ] Excision of Left Lower Leg Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBT4ZX] Excision of Left Lower Leg Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBT4ZZ] Excision of Left Lower Leg Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBV0ZX] Excision of Right Foot Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBV0ZZ] Excision of Right Foot Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBV3ZX] Excision of Right Foot Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBV3ZZ] Excision of Right Foot Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBV4ZX] Excision of Right Foot Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBV4ZZ] Excision of Right Foot Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBW0ZX] Excision of Left Foot Muscle, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBW0ZZ] Excision of Left Foot Muscle, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBW3ZX] Excision of Left Foot Muscle, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBW3ZZ] Excision of Left Foot Muscle, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0KBW4ZX] Excision of Left Foot Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0KBW4ZZ] Excision of Left Foot Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0KC] Muscles, Extirpation -- Taking or cutting out solid matter from a body part
[0KC00ZZ] Extirpation of Matter from Head Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC03ZZ] Extirpation of Matter from Head Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC04ZZ] Extirpation of Matter from Head Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KC10ZZ] Extirpation of Matter from Facial Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC13ZZ] Extirpation of Matter from Facial Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC14ZZ] Extirpation of Matter from Facial Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KC20ZZ] Extirpation of Matter from Right Neck Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC23ZZ] Extirpation of Matter from Right Neck Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC24ZZ] Extirpation of Matter from Right Neck Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KC30ZZ] Extirpation of Matter from Left Neck Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC33ZZ] Extirpation of Matter from Left Neck Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC34ZZ] Extirpation of Matter from Left Neck Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KC40ZZ] Extirpation of Matter from Tongue, Palate, Pharynx Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC43ZZ] Extirpation of Matter from Tongue, Palate, Pharynx Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC44ZZ] Extirpation of Matter from Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KC50ZZ] Extirpation of Matter from Right Shoulder Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC53ZZ] Extirpation of Matter from Right Shoulder Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC54ZZ] Extirpation of Matter from Right Shoulder Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KC60ZZ] Extirpation of Matter from Left Shoulder Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC63ZZ] Extirpation of Matter from Left Shoulder Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC64ZZ] Extirpation of Matter from Left Shoulder Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KC70ZZ] Extirpation of Matter from Right Upper Arm Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC73ZZ] Extirpation of Matter from Right Upper Arm Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC74ZZ] Extirpation of Matter from Right Upper Arm Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KC80ZZ] Extirpation of Matter from Left Upper Arm Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC83ZZ] Extirpation of Matter from Left Upper Arm Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC84ZZ] Extirpation of Matter from Left Upper Arm Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KC90ZZ] Extirpation of Matter from Right Lower Arm and Wrist Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KC93ZZ] Extirpation of Matter from Right Lower Arm and Wrist Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KC94ZZ] Extirpation of Matter from Right Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCB0ZZ] Extirpation of Matter from Left Lower Arm and Wrist Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCB3ZZ] Extirpation of Matter from Left Lower Arm and Wrist Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCB4ZZ] Extirpation of Matter from Left Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCC0ZZ] Extirpation of Matter from Right Hand Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCC3ZZ] Extirpation of Matter from Right Hand Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCC4ZZ] Extirpation of Matter from Right Hand Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCD0ZZ] Extirpation of Matter from Left Hand Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCD3ZZ] Extirpation of Matter from Left Hand Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
