[0D] Gastrointestinal System -- Body system (Gastrointestinal System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0D1] Gastrointestinal System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0D1M4JN] Bypass Descending Colon to Sigmoid Colon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M4JP] Bypass Descending Colon to Rectum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M4K4] Bypass Descending Colon to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M4KM] Bypass Descending Colon to Descending Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M4KN] Bypass Descending Colon to Sigmoid Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M4KP] Bypass Descending Colon to Rectum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M4Z4] Bypass Descending Colon to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M4ZM] Bypass Descending Colon to Descending Colon, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M4ZN] Bypass Descending Colon to Sigmoid Colon, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M4ZP] Bypass Descending Colon to Rectum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1M874] Bypass Descending Colon to Cutaneous with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M87M] Bypass Descending Colon to Descending Colon with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M87N] Bypass Descending Colon to Sigmoid Colon with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M87P] Bypass Descending Colon to Rectum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8J4] Bypass Descending Colon to Cutaneous with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8JM] Bypass Descending Colon to Descending Colon with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8JN] Bypass Descending Colon to Sigmoid Colon with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8JP] Bypass Descending Colon to Rectum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8K4] Bypass Descending Colon to Cutaneous with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8KM] Bypass Descending Colon to Descending Colon with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8KN] Bypass Descending Colon to Sigmoid Colon with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8KP] Bypass Descending Colon to Rectum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8Z4] Bypass Descending Colon to Cutaneous, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8ZM] Bypass Descending Colon to Descending Colon, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8ZN] Bypass Descending Colon to Sigmoid Colon, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1M8ZP] Bypass Descending Colon to Rectum, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N074] Bypass Sigmoid Colon to Cutaneous with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N07N] Bypass Sigmoid Colon to Sigmoid Colon with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N07P] Bypass Sigmoid Colon to Rectum with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N0J4] Bypass Sigmoid Colon to Cutaneous with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N0JN] Bypass Sigmoid Colon to Sigmoid Colon with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N0JP] Bypass Sigmoid Colon to Rectum with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N0K4] Bypass Sigmoid Colon to Cutaneous with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N0KN] Bypass Sigmoid Colon to Sigmoid Colon with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N0KP] Bypass Sigmoid Colon to Rectum with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N0Z4] Bypass Sigmoid Colon to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N0ZN] Bypass Sigmoid Colon to Sigmoid Colon, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N0ZP] Bypass Sigmoid Colon to Rectum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N3J4] Bypass Sigmoid Colon to Cutaneous with Synthetic Substitute, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N474] Bypass Sigmoid Colon to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N47N] Bypass Sigmoid Colon to Sigmoid Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N47P] Bypass Sigmoid Colon to Rectum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N4J4] Bypass Sigmoid Colon to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N4JN] Bypass Sigmoid Colon to Sigmoid Colon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N4JP] Bypass Sigmoid Colon to Rectum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N4K4] Bypass Sigmoid Colon to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N4KN] Bypass Sigmoid Colon to Sigmoid Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N4KP] Bypass Sigmoid Colon to Rectum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N4Z4] Bypass Sigmoid Colon to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N4ZN] Bypass Sigmoid Colon to Sigmoid Colon, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N4ZP] Bypass Sigmoid Colon to Rectum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1N874] Bypass Sigmoid Colon to Cutaneous with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N87N] Bypass Sigmoid Colon to Sigmoid Colon with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N87P] Bypass Sigmoid Colon to Rectum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N8J4] Bypass Sigmoid Colon to Cutaneous with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N8JN] Bypass Sigmoid Colon to Sigmoid Colon with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N8JP] Bypass Sigmoid Colon to Rectum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N8K4] Bypass Sigmoid Colon to Cutaneous with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N8KN] Bypass Sigmoid Colon to Sigmoid Colon with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N8KP] Bypass Sigmoid Colon to Rectum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N8Z4] Bypass Sigmoid Colon to Cutaneous, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N8ZN] Bypass Sigmoid Colon to Sigmoid Colon, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1N8ZP] Bypass Sigmoid Colon to Rectum, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D2] Gastrointestinal System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D20X0Z] Change Drainage Device in Upper Intestinal Tract, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D20XUZ] Change Feeding Device in Upper Intestinal Tract, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D20XYZ] Change Other Device in Upper Intestinal Tract, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D2DX0Z] Change Drainage Device in Lower Intestinal Tract, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D2DXUZ] Change Feeding Device in Lower Intestinal Tract, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D2DXYZ] Change Other Device in Lower Intestinal Tract, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D2UX0Z] Change Drainage Device in Omentum, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D2UXYZ] Change Other Device in Omentum, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D2VX0Z] Change Drainage Device in Mesentery, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D2VXYZ] Change Other Device in Mesentery, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D2WX0Z] Change Drainage Device in Peritoneum, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D2WXYZ] Change Other Device in Peritoneum, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0D5] Gastrointestinal System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D510Z3] Destruction of Upper Esophagus using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D510ZZ] Destruction of Upper Esophagus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D513Z3] Destruction of Upper Esophagus using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D513ZZ] Destruction of Upper Esophagus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D514Z3] Destruction of Upper Esophagus using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D514ZZ] Destruction of Upper Esophagus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D517ZZ] Destruction of Upper Esophagus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D518ZZ] Destruction of Upper Esophagus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D520Z3] Destruction of Middle Esophagus using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D520ZZ] Destruction of Middle Esophagus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D523Z3] Destruction of Middle Esophagus using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D523ZZ] Destruction of Middle Esophagus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D524Z3] Destruction of Middle Esophagus using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D524ZZ] Destruction of Middle Esophagus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D527ZZ] Destruction of Middle Esophagus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D528ZZ] Destruction of Middle Esophagus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D530Z3] Destruction of Lower Esophagus using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D530ZZ] Destruction of Lower Esophagus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D533Z3] Destruction of Lower Esophagus using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D533ZZ] Destruction of Lower Esophagus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D534Z3] Destruction of Lower Esophagus using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D534ZZ] Destruction of Lower Esophagus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D537ZZ] Destruction of Lower Esophagus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D538ZZ] Destruction of Lower Esophagus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D540Z3] Destruction of Esophagogastric Junction using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D540ZZ] Destruction of Esophagogastric Junction, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D543Z3] Destruction of Esophagogastric Junction using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D543ZZ] Destruction of Esophagogastric Junction, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D544Z3] Destruction of Esophagogastric Junction using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D544ZZ] Destruction of Esophagogastric Junction, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D547ZZ] Destruction of Esophagogastric Junction, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D548ZZ] Destruction of Esophagogastric Junction, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D550Z3] Destruction of Esophagus using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D550ZZ] Destruction of Esophagus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D553Z3] Destruction of Esophagus using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D553ZZ] Destruction of Esophagus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D554Z3] Destruction of Esophagus using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D554ZZ] Destruction of Esophagus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D557ZZ] Destruction of Esophagus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D558ZZ] Destruction of Esophagus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D560Z3] Destruction of Stomach using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D560ZZ] Destruction of Stomach, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D563Z3] Destruction of Stomach using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D563ZZ] Destruction of Stomach, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D564Z3] Destruction of Stomach using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D564ZZ] Destruction of Stomach, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D567ZZ] Destruction of Stomach, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D568ZZ] Destruction of Stomach, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D570Z3] Destruction of Stomach, Pylorus using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D570ZZ] Destruction of Stomach, Pylorus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D573Z3] Destruction of Stomach, Pylorus using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D573ZZ] Destruction of Stomach, Pylorus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D574Z3] Destruction of Stomach, Pylorus using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D574ZZ] Destruction of Stomach, Pylorus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D577ZZ] Destruction of Stomach, Pylorus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D578ZZ] Destruction of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D580Z3] Destruction of Small Intestine using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D580ZZ] Destruction of Small Intestine, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D583Z3] Destruction of Small Intestine using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D583ZZ] Destruction of Small Intestine, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D584Z3] Destruction of Small Intestine using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D584ZZ] Destruction of Small Intestine, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D587ZZ] Destruction of Small Intestine, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D588ZZ] Destruction of Small Intestine, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D590Z3] Destruction of Duodenum using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D590ZZ] Destruction of Duodenum, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D593Z3] Destruction of Duodenum using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D593ZZ] Destruction of Duodenum, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D594Z3] Destruction of Duodenum using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D594ZZ] Destruction of Duodenum, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D597ZZ] Destruction of Duodenum, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D598ZZ] Destruction of Duodenum, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5A0Z3] Destruction of Jejunum using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5A0ZZ] Destruction of Jejunum, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5A3Z3] Destruction of Jejunum using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5A3ZZ] Destruction of Jejunum, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5A4Z3] Destruction of Jejunum using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5A4ZZ] Destruction of Jejunum, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5A7ZZ] Destruction of Jejunum, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5A8ZZ] Destruction of Jejunum, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5B0Z3] Destruction of Ileum using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5B0ZZ] Destruction of Ileum, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5B3Z3] Destruction of Ileum using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5B3ZZ] Destruction of Ileum, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5B4Z3] Destruction of Ileum using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5B4ZZ] Destruction of Ileum, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5B7ZZ] Destruction of Ileum, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5B8ZZ] Destruction of Ileum, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5C0Z3] Destruction of Ileocecal Valve using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5C0ZZ] Destruction of Ileocecal Valve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5C3Z3] Destruction of Ileocecal Valve using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5C3ZZ] Destruction of Ileocecal Valve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5C4Z3] Destruction of Ileocecal Valve using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5C4ZZ] Destruction of Ileocecal Valve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5C7ZZ] Destruction of Ileocecal Valve, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5C8ZZ] Destruction of Ileocecal Valve, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5E0Z3] Destruction of Large Intestine using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5E0ZZ] Destruction of Large Intestine, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5E3Z3] Destruction of Large Intestine using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5E3ZZ] Destruction of Large Intestine, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5E4Z3] Destruction of Large Intestine using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5E4ZZ] Destruction of Large Intestine, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5E7ZZ] Destruction of Large Intestine, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5E8ZZ] Destruction of Large Intestine, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
