[02] Heart and Great Vessels -- Body system (Heart and Great Vessels) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[021] Heart and Great Vessels, Bypass -- Altering the route of passage of the contents of a tubular body part
[025Q4ZZ] Destruction of Right Pulmonary Artery, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025R0ZZ] Destruction of Left Pulmonary Artery, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025R3ZZ] Destruction of Left Pulmonary Artery, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025R4ZZ] Destruction of Left Pulmonary Artery, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025S0ZZ] Destruction of Right Pulmonary Vein, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025S3ZZ] Destruction of Right Pulmonary Vein, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025S4ZZ] Destruction of Right Pulmonary Vein, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025T0ZZ] Destruction of Left Pulmonary Vein, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025T3ZZ] Destruction of Left Pulmonary Vein, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025T4ZZ] Destruction of Left Pulmonary Vein, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025V0ZZ] Destruction of Superior Vena Cava, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025V3ZZ] Destruction of Superior Vena Cava, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025V4ZZ] Destruction of Superior Vena Cava, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025W0ZZ] Destruction of Thoracic Aorta, Descending, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025W3ZZ] Destruction of Thoracic Aorta, Descending, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025W4ZZ] Destruction of Thoracic Aorta, Descending, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025X0ZZ] Destruction of Thoracic Aorta, Ascending/Arch, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025X3ZZ] Destruction of Thoracic Aorta, Ascending/Arch, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[025X4ZZ] Destruction of Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[027] Heart and Great Vessels, Dilation -- Expanding an orifice or the lumen of a tubular body part
[0270046] Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027004Z] Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0270056] Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027005Z] Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0270066] Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027006Z] Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0270076] Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027007Z] Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700D6] Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700DZ] Dilation of Coronary Artery, One Artery with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700E6] Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700EZ] Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700F6] Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700FZ] Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700G6] Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700GZ] Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700T6] Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700TZ] Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700Z6] Dilation of Coronary Artery, One Artery, Bifurcation, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02700ZZ] Dilation of Coronary Artery, One Artery, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0270346] Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027034Z] Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0270356] Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027035Z] Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0270366] Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027036Z] Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0270376] Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027037Z] Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703D6] Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703DZ] Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703E6] Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703EZ] Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703F6] Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703FZ] Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703G6] Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703GZ] Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703T6] Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703TZ] Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703Z6] Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02703ZZ] Dilation of Coronary Artery, One Artery, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0270446] Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027044Z] Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0270456] Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027045Z] Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0270466] Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027046Z] Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0270476] Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027047Z] Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704D6] Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704DZ] Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704E6] Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704EZ] Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704F6] Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704FZ] Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704G6] Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704GZ] Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704T6] Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704TZ] Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704Z6] Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02704ZZ] Dilation of Coronary Artery, One Artery, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0271046] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027104Z] Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0271056] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027105Z] Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0271066] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027106Z] Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0271076] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027107Z] Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710D6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710DZ] Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710E6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710EZ] Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710F6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710FZ] Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710G6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710GZ] Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710T6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710TZ] Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710Z6] Dilation of Coronary Artery, Two Arteries, Bifurcation, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02710ZZ] Dilation of Coronary Artery, Two Arteries, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0271346] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027134Z] Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0271356] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027135Z] Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0271366] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027136Z] Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0271376] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027137Z] Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713D6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713DZ] Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713E6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713EZ] Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713F6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713FZ] Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713G6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713GZ] Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713T6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713TZ] Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713Z6] Dilation of Coronary Artery, Two Arteries, Bifurcation, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02713ZZ] Dilation of Coronary Artery, Two Arteries, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0271446] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027144Z] Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0271456] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027145Z] Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0271466] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027146Z] Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0271476] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027147Z] Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714D6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714DZ] Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714E6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714EZ] Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714F6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714FZ] Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714G6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714GZ] Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714T6] Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714TZ] Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714Z6] Dilation of Coronary Artery, Two Arteries, Bifurcation, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02714ZZ] Dilation of Coronary Artery, Two Arteries, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0272046] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027204Z] Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0272056] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027205Z] Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0272066] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027206Z] Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0272076] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027207Z] Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720D6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720DZ] Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720E6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720EZ] Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720F6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720FZ] Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720G6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720GZ] Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720T6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720TZ] Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720Z6] Dilation of Coronary Artery, Three Arteries, Bifurcation, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02720ZZ] Dilation of Coronary Artery, Three Arteries, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0272346] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027234Z] Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0272356] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027235Z] Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0272366] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027236Z] Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0272376] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027237Z] Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723D6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723DZ] Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723E6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723EZ] Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723F6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723FZ] Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723G6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723GZ] Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723T6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723TZ] Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723Z6] Dilation of Coronary Artery, Three Arteries, Bifurcation, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02723ZZ] Dilation of Coronary Artery, Three Arteries, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0272446] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027244Z] Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0272456] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027245Z] Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0272466] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
