[01] Peripheral Nervous System -- Body system (Peripheral Nervous System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[012] Peripheral Nervous System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YX0Z] Change Drainage Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YXYZ] Change Other Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[015] Peripheral Nervous System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[019L4ZZ] Drainage of Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019M00Z] Drainage of Abdominal Sympathetic Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019M0ZX] Drainage of Abdominal Sympathetic Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019M0ZZ] Drainage of Abdominal Sympathetic Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019M30Z] Drainage of Abdominal Sympathetic Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019M3ZX] Drainage of Abdominal Sympathetic Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019M3ZZ] Drainage of Abdominal Sympathetic Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019M40Z] Drainage of Abdominal Sympathetic Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019M4ZX] Drainage of Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019M4ZZ] Drainage of Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019N00Z] Drainage of Lumbar Sympathetic Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019N0ZX] Drainage of Lumbar Sympathetic Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019N0ZZ] Drainage of Lumbar Sympathetic Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019N30Z] Drainage of Lumbar Sympathetic Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019N3ZX] Drainage of Lumbar Sympathetic Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019N3ZZ] Drainage of Lumbar Sympathetic Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019N40Z] Drainage of Lumbar Sympathetic Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019N4ZX] Drainage of Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019N4ZZ] Drainage of Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019P00Z] Drainage of Sacral Sympathetic Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019P0ZX] Drainage of Sacral Sympathetic Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019P0ZZ] Drainage of Sacral Sympathetic Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019P30Z] Drainage of Sacral Sympathetic Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019P3ZX] Drainage of Sacral Sympathetic Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019P3ZZ] Drainage of Sacral Sympathetic Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019P40Z] Drainage of Sacral Sympathetic Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019P4ZX] Drainage of Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019P4ZZ] Drainage of Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019Q00Z] Drainage of Sacral Plexus with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019Q0ZX] Drainage of Sacral Plexus, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019Q0ZZ] Drainage of Sacral Plexus, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019Q30Z] Drainage of Sacral Plexus with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019Q3ZX] Drainage of Sacral Plexus, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019Q3ZZ] Drainage of Sacral Plexus, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019Q40Z] Drainage of Sacral Plexus with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019Q4ZX] Drainage of Sacral Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019Q4ZZ] Drainage of Sacral Plexus, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019R00Z] Drainage of Sacral Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019R0ZX] Drainage of Sacral Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019R0ZZ] Drainage of Sacral Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019R30Z] Drainage of Sacral Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019R3ZX] Drainage of Sacral Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019R3ZZ] Drainage of Sacral Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019R40Z] Drainage of Sacral Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019R4ZX] Drainage of Sacral Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019R4ZZ] Drainage of Sacral Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01B] Peripheral Nervous System, Excision -- Cutting out or off, without replacement, a portion of a body part
[01B00ZX] Excision of Cervical Plexus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B00ZZ] Excision of Cervical Plexus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01B03ZX] Excision of Cervical Plexus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B03ZZ] Excision of Cervical Plexus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01B04ZX] Excision of Cervical Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B04ZZ] Excision of Cervical Plexus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01B10ZX] Excision of Cervical Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B10ZZ] Excision of Cervical Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01B13ZX] Excision of Cervical Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B13ZZ] Excision of Cervical Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01B14ZX] Excision of Cervical Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B14ZZ] Excision of Cervical Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01B20ZX] Excision of Phrenic Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B20ZZ] Excision of Phrenic Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01B23ZX] Excision of Phrenic Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B23ZZ] Excision of Phrenic Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01B24ZX] Excision of Phrenic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B24ZZ] Excision of Phrenic Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01B30ZX] Excision of Brachial Plexus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B30ZZ] Excision of Brachial Plexus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01B33ZX] Excision of Brachial Plexus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B33ZZ] Excision of Brachial Plexus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01B34ZX] Excision of Brachial Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B34ZZ] Excision of Brachial Plexus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01B40ZX] Excision of Ulnar Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B40ZZ] Excision of Ulnar Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01B43ZX] Excision of Ulnar Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B43ZZ] Excision of Ulnar Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01B44ZX] Excision of Ulnar Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B44ZZ] Excision of Ulnar Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01B50ZX] Excision of Median Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B50ZZ] Excision of Median Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01B53ZX] Excision of Median Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B53ZZ] Excision of Median Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01B54ZX] Excision of Median Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B54ZZ] Excision of Median Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01B60ZX] Excision of Radial Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B60ZZ] Excision of Radial Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01B63ZX] Excision of Radial Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B63ZZ] Excision of Radial Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01B64ZX] Excision of Radial Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B64ZZ] Excision of Radial Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01B80ZX] Excision of Thoracic Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B80ZZ] Excision of Thoracic Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01B83ZX] Excision of Thoracic Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B83ZZ] Excision of Thoracic Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01B84ZX] Excision of Thoracic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B84ZZ] Excision of Thoracic Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01B90ZX] Excision of Lumbar Plexus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B90ZZ] Excision of Lumbar Plexus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01B93ZX] Excision of Lumbar Plexus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B93ZZ] Excision of Lumbar Plexus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01B94ZX] Excision of Lumbar Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01B94ZZ] Excision of Lumbar Plexus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BA0ZX] Excision of Lumbosacral Plexus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BA0ZZ] Excision of Lumbosacral Plexus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BA3ZX] Excision of Lumbosacral Plexus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BA3ZZ] Excision of Lumbosacral Plexus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BA4ZX] Excision of Lumbosacral Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BA4ZZ] Excision of Lumbosacral Plexus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BB0ZX] Excision of Lumbar Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BB0ZZ] Excision of Lumbar Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BB3ZX] Excision of Lumbar Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BB3ZZ] Excision of Lumbar Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BB4ZX] Excision of Lumbar Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BB4ZZ] Excision of Lumbar Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BC0ZX] Excision of Pudendal Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BC0ZZ] Excision of Pudendal Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BC3ZX] Excision of Pudendal Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BC3ZZ] Excision of Pudendal Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BC4ZX] Excision of Pudendal Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BC4ZZ] Excision of Pudendal Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BD0ZX] Excision of Femoral Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BD0ZZ] Excision of Femoral Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BD3ZX] Excision of Femoral Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BD3ZZ] Excision of Femoral Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BD4ZX] Excision of Femoral Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BD4ZZ] Excision of Femoral Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BF0ZX] Excision of Sciatic Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BF0ZZ] Excision of Sciatic Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BF3ZX] Excision of Sciatic Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BF3ZZ] Excision of Sciatic Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BF4ZX] Excision of Sciatic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BF4ZZ] Excision of Sciatic Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BG0ZX] Excision of Tibial Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BG0ZZ] Excision of Tibial Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BG3ZX] Excision of Tibial Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BG3ZZ] Excision of Tibial Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BG4ZX] Excision of Tibial Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BG4ZZ] Excision of Tibial Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BH0ZX] Excision of Peroneal Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BH0ZZ] Excision of Peroneal Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BH3ZX] Excision of Peroneal Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BH3ZZ] Excision of Peroneal Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BH4ZX] Excision of Peroneal Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BH4ZZ] Excision of Peroneal Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BK0ZX] Excision of Head and Neck Sympathetic Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BK0ZZ] Excision of Head and Neck Sympathetic Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BK3ZX] Excision of Head and Neck Sympathetic Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BK3ZZ] Excision of Head and Neck Sympathetic Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BK4ZX] Excision of Head and Neck Sympathetic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BK4ZZ] Excision of Head and Neck Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BL0ZX] Excision of Thoracic Sympathetic Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BL0ZZ] Excision of Thoracic Sympathetic Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BL3ZX] Excision of Thoracic Sympathetic Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BL3ZZ] Excision of Thoracic Sympathetic Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BL4ZX] Excision of Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BL4ZZ] Excision of Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BM0ZX] Excision of Abdominal Sympathetic Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BM0ZZ] Excision of Abdominal Sympathetic Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BM3ZX] Excision of Abdominal Sympathetic Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BM3ZZ] Excision of Abdominal Sympathetic Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BM4ZX] Excision of Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BM4ZZ] Excision of Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BN0ZX] Excision of Lumbar Sympathetic Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BN0ZZ] Excision of Lumbar Sympathetic Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BN3ZX] Excision of Lumbar Sympathetic Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BN3ZZ] Excision of Lumbar Sympathetic Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BN4ZX] Excision of Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BN4ZZ] Excision of Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BP0ZX] Excision of Sacral Sympathetic Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BP0ZZ] Excision of Sacral Sympathetic Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BP3ZX] Excision of Sacral Sympathetic Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BP3ZZ] Excision of Sacral Sympathetic Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BP4ZX] Excision of Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BP4ZZ] Excision of Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BQ0ZX] Excision of Sacral Plexus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BQ0ZZ] Excision of Sacral Plexus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BQ3ZX] Excision of Sacral Plexus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BQ3ZZ] Excision of Sacral Plexus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BQ4ZX] Excision of Sacral Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BQ4ZZ] Excision of Sacral Plexus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01BR0ZX] Excision of Sacral Nerve, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BR0ZZ] Excision of Sacral Nerve, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[01BR3ZX] Excision of Sacral Nerve, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BR3ZZ] Excision of Sacral Nerve, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[01BR4ZX] Excision of Sacral Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[01BR4ZZ] Excision of Sacral Nerve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[01C] Peripheral Nervous System, Extirpation -- Taking or cutting out solid matter from a body part
[01C00ZZ] Extirpation of Matter from Cervical Plexus, Open Approach -- Taking or cutting out solid matter from a body part
[01C03ZZ] Extirpation of Matter from Cervical Plexus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01C04ZZ] Extirpation of Matter from Cervical Plexus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01C10ZZ] Extirpation of Matter from Cervical Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01C13ZZ] Extirpation of Matter from Cervical Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01C14ZZ] Extirpation of Matter from Cervical Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01C20ZZ] Extirpation of Matter from Phrenic Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01C23ZZ] Extirpation of Matter from Phrenic Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01C24ZZ] Extirpation of Matter from Phrenic Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01C30ZZ] Extirpation of Matter from Brachial Plexus, Open Approach -- Taking or cutting out solid matter from a body part
[01C33ZZ] Extirpation of Matter from Brachial Plexus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01C34ZZ] Extirpation of Matter from Brachial Plexus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01C40ZZ] Extirpation of Matter from Ulnar Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01C43ZZ] Extirpation of Matter from Ulnar Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01C44ZZ] Extirpation of Matter from Ulnar Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01C50ZZ] Extirpation of Matter from Median Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01C53ZZ] Extirpation of Matter from Median Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01C54ZZ] Extirpation of Matter from Median Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01C60ZZ] Extirpation of Matter from Radial Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01C63ZZ] Extirpation of Matter from Radial Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01C64ZZ] Extirpation of Matter from Radial Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01C80ZZ] Extirpation of Matter from Thoracic Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01C83ZZ] Extirpation of Matter from Thoracic Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01C84ZZ] Extirpation of Matter from Thoracic Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01C90ZZ] Extirpation of Matter from Lumbar Plexus, Open Approach -- Taking or cutting out solid matter from a body part
[01C93ZZ] Extirpation of Matter from Lumbar Plexus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01C94ZZ] Extirpation of Matter from Lumbar Plexus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CA0ZZ] Extirpation of Matter from Lumbosacral Plexus, Open Approach -- Taking or cutting out solid matter from a body part
[01CA3ZZ] Extirpation of Matter from Lumbosacral Plexus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CA4ZZ] Extirpation of Matter from Lumbosacral Plexus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CB0ZZ] Extirpation of Matter from Lumbar Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CB3ZZ] Extirpation of Matter from Lumbar Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CB4ZZ] Extirpation of Matter from Lumbar Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CC0ZZ] Extirpation of Matter from Pudendal Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CC3ZZ] Extirpation of Matter from Pudendal Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CC4ZZ] Extirpation of Matter from Pudendal Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CD0ZZ] Extirpation of Matter from Femoral Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CD3ZZ] Extirpation of Matter from Femoral Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CD4ZZ] Extirpation of Matter from Femoral Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CF0ZZ] Extirpation of Matter from Sciatic Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CF3ZZ] Extirpation of Matter from Sciatic Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
