[0L] Tendons -- Body system (Tendons) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0L2] Tendons, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XX0Z] Change Drainage Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XXYZ] Change Other Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YX0Z] Change Drainage Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YXYZ] Change Other Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L5] Tendons, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L9L0ZZ] Drainage of Right Upper Leg Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9L30Z] Drainage of Right Upper Leg Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9L3ZX] Drainage of Right Upper Leg Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9L3ZZ] Drainage of Right Upper Leg Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9L40Z] Drainage of Right Upper Leg Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9L4ZX] Drainage of Right Upper Leg Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9L4ZZ] Drainage of Right Upper Leg Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9M00Z] Drainage of Left Upper Leg Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9M0ZX] Drainage of Left Upper Leg Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9M0ZZ] Drainage of Left Upper Leg Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9M30Z] Drainage of Left Upper Leg Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9M3ZX] Drainage of Left Upper Leg Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9M3ZZ] Drainage of Left Upper Leg Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9M40Z] Drainage of Left Upper Leg Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9M4ZX] Drainage of Left Upper Leg Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9M4ZZ] Drainage of Left Upper Leg Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9N00Z] Drainage of Right Lower Leg Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9N0ZX] Drainage of Right Lower Leg Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9N0ZZ] Drainage of Right Lower Leg Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9N30Z] Drainage of Right Lower Leg Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9N3ZX] Drainage of Right Lower Leg Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9N3ZZ] Drainage of Right Lower Leg Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9N40Z] Drainage of Right Lower Leg Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9N4ZX] Drainage of Right Lower Leg Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9N4ZZ] Drainage of Right Lower Leg Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9P00Z] Drainage of Left Lower Leg Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9P0ZX] Drainage of Left Lower Leg Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9P0ZZ] Drainage of Left Lower Leg Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9P30Z] Drainage of Left Lower Leg Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9P3ZX] Drainage of Left Lower Leg Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9P3ZZ] Drainage of Left Lower Leg Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9P40Z] Drainage of Left Lower Leg Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9P4ZX] Drainage of Left Lower Leg Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9P4ZZ] Drainage of Left Lower Leg Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9Q00Z] Drainage of Right Knee Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9Q0ZX] Drainage of Right Knee Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9Q0ZZ] Drainage of Right Knee Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9Q30Z] Drainage of Right Knee Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9Q3ZX] Drainage of Right Knee Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9Q3ZZ] Drainage of Right Knee Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9Q40Z] Drainage of Right Knee Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9Q4ZX] Drainage of Right Knee Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9Q4ZZ] Drainage of Right Knee Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9R00Z] Drainage of Left Knee Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9R0ZX] Drainage of Left Knee Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9R0ZZ] Drainage of Left Knee Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9R30Z] Drainage of Left Knee Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9R3ZX] Drainage of Left Knee Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9R3ZZ] Drainage of Left Knee Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9R40Z] Drainage of Left Knee Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9R4ZX] Drainage of Left Knee Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9R4ZZ] Drainage of Left Knee Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9S00Z] Drainage of Right Ankle Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9S0ZX] Drainage of Right Ankle Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9S0ZZ] Drainage of Right Ankle Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9S30Z] Drainage of Right Ankle Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9S3ZX] Drainage of Right Ankle Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9S3ZZ] Drainage of Right Ankle Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9S40Z] Drainage of Right Ankle Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9S4ZX] Drainage of Right Ankle Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9S4ZZ] Drainage of Right Ankle Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9T00Z] Drainage of Left Ankle Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9T0ZX] Drainage of Left Ankle Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9T0ZZ] Drainage of Left Ankle Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9T30Z] Drainage of Left Ankle Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9T3ZX] Drainage of Left Ankle Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9T3ZZ] Drainage of Left Ankle Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9T40Z] Drainage of Left Ankle Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9T4ZX] Drainage of Left Ankle Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9T4ZZ] Drainage of Left Ankle Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9V00Z] Drainage of Right Foot Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9V0ZX] Drainage of Right Foot Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9V0ZZ] Drainage of Right Foot Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9V30Z] Drainage of Right Foot Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9V3ZX] Drainage of Right Foot Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9V3ZZ] Drainage of Right Foot Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9V40Z] Drainage of Right Foot Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9V4ZX] Drainage of Right Foot Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9V4ZZ] Drainage of Right Foot Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9W00Z] Drainage of Left Foot Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9W0ZX] Drainage of Left Foot Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9W0ZZ] Drainage of Left Foot Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9W30Z] Drainage of Left Foot Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9W3ZX] Drainage of Left Foot Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9W3ZZ] Drainage of Left Foot Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9W40Z] Drainage of Left Foot Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9W4ZX] Drainage of Left Foot Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L9W4ZZ] Drainage of Left Foot Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0LB] Tendons, Excision -- Cutting out or off, without replacement, a portion of a body part
[0LB00ZX] Excision of Head and Neck Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB00ZZ] Excision of Head and Neck Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB03ZX] Excision of Head and Neck Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB03ZZ] Excision of Head and Neck Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB04ZX] Excision of Head and Neck Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB04ZZ] Excision of Head and Neck Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB10ZX] Excision of Right Shoulder Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB10ZZ] Excision of Right Shoulder Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB13ZX] Excision of Right Shoulder Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB13ZZ] Excision of Right Shoulder Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB14ZX] Excision of Right Shoulder Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB14ZZ] Excision of Right Shoulder Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB20ZX] Excision of Left Shoulder Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB20ZZ] Excision of Left Shoulder Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB23ZX] Excision of Left Shoulder Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB23ZZ] Excision of Left Shoulder Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB24ZX] Excision of Left Shoulder Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB24ZZ] Excision of Left Shoulder Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB30ZX] Excision of Right Upper Arm Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB30ZZ] Excision of Right Upper Arm Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB33ZX] Excision of Right Upper Arm Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB33ZZ] Excision of Right Upper Arm Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB34ZX] Excision of Right Upper Arm Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB34ZZ] Excision of Right Upper Arm Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB40ZX] Excision of Left Upper Arm Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB40ZZ] Excision of Left Upper Arm Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB43ZX] Excision of Left Upper Arm Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB43ZZ] Excision of Left Upper Arm Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB44ZX] Excision of Left Upper Arm Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB44ZZ] Excision of Left Upper Arm Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB50ZX] Excision of Right Lower Arm and Wrist Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB50ZZ] Excision of Right Lower Arm and Wrist Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB53ZX] Excision of Right Lower Arm and Wrist Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB53ZZ] Excision of Right Lower Arm and Wrist Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB54ZX] Excision of Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB54ZZ] Excision of Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB60ZX] Excision of Left Lower Arm and Wrist Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB60ZZ] Excision of Left Lower Arm and Wrist Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB63ZX] Excision of Left Lower Arm and Wrist Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB63ZZ] Excision of Left Lower Arm and Wrist Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB64ZX] Excision of Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB64ZZ] Excision of Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB70ZX] Excision of Right Hand Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB70ZZ] Excision of Right Hand Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB73ZX] Excision of Right Hand Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB73ZZ] Excision of Right Hand Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB74ZX] Excision of Right Hand Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB74ZZ] Excision of Right Hand Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB80ZX] Excision of Left Hand Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB80ZZ] Excision of Left Hand Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB83ZX] Excision of Left Hand Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB83ZZ] Excision of Left Hand Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB84ZX] Excision of Left Hand Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB84ZZ] Excision of Left Hand Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB90ZX] Excision of Right Trunk Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB90ZZ] Excision of Right Trunk Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB93ZX] Excision of Right Trunk Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB93ZZ] Excision of Right Trunk Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LB94ZX] Excision of Right Trunk Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LB94ZZ] Excision of Right Trunk Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBB0ZX] Excision of Left Trunk Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBB0ZZ] Excision of Left Trunk Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBB3ZX] Excision of Left Trunk Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBB3ZZ] Excision of Left Trunk Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBB4ZX] Excision of Left Trunk Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBB4ZZ] Excision of Left Trunk Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBC0ZX] Excision of Right Thorax Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBC0ZZ] Excision of Right Thorax Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBC3ZX] Excision of Right Thorax Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBC3ZZ] Excision of Right Thorax Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBC4ZX] Excision of Right Thorax Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBC4ZZ] Excision of Right Thorax Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBD0ZX] Excision of Left Thorax Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBD0ZZ] Excision of Left Thorax Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBD3ZX] Excision of Left Thorax Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBD3ZZ] Excision of Left Thorax Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBD4ZX] Excision of Left Thorax Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBD4ZZ] Excision of Left Thorax Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBF0ZX] Excision of Right Abdomen Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBF0ZZ] Excision of Right Abdomen Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBF3ZX] Excision of Right Abdomen Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBF3ZZ] Excision of Right Abdomen Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBF4ZX] Excision of Right Abdomen Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBF4ZZ] Excision of Right Abdomen Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBG0ZX] Excision of Left Abdomen Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBG0ZZ] Excision of Left Abdomen Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBG3ZX] Excision of Left Abdomen Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBG3ZZ] Excision of Left Abdomen Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBG4ZX] Excision of Left Abdomen Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBG4ZZ] Excision of Left Abdomen Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBH0ZX] Excision of Perineum Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBH0ZZ] Excision of Perineum Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBH3ZX] Excision of Perineum Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBH3ZZ] Excision of Perineum Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBH4ZX] Excision of Perineum Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBH4ZZ] Excision of Perineum Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBJ0ZX] Excision of Right Hip Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBJ0ZZ] Excision of Right Hip Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBJ3ZX] Excision of Right Hip Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBJ3ZZ] Excision of Right Hip Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBJ4ZX] Excision of Right Hip Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBJ4ZZ] Excision of Right Hip Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBK0ZX] Excision of Left Hip Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBK0ZZ] Excision of Left Hip Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBK3ZX] Excision of Left Hip Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBK3ZZ] Excision of Left Hip Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBK4ZX] Excision of Left Hip Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBK4ZZ] Excision of Left Hip Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBL0ZX] Excision of Right Upper Leg Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBL0ZZ] Excision of Right Upper Leg Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBL3ZX] Excision of Right Upper Leg Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBL3ZZ] Excision of Right Upper Leg Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBL4ZX] Excision of Right Upper Leg Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBL4ZZ] Excision of Right Upper Leg Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBM0ZX] Excision of Left Upper Leg Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBM0ZZ] Excision of Left Upper Leg Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBM3ZX] Excision of Left Upper Leg Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBM3ZZ] Excision of Left Upper Leg Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBM4ZX] Excision of Left Upper Leg Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBM4ZZ] Excision of Left Upper Leg Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBN0ZX] Excision of Right Lower Leg Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBN0ZZ] Excision of Right Lower Leg Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBN3ZX] Excision of Right Lower Leg Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBN3ZZ] Excision of Right Lower Leg Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBN4ZX] Excision of Right Lower Leg Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBN4ZZ] Excision of Right Lower Leg Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBP0ZX] Excision of Left Lower Leg Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
