[0B] Respiratory System -- Body system (Respiratory System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0B1] Respiratory System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0B110D6] Bypass Trachea to Esophagus with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110Z4] Bypass Trachea to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B113F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B113Z4] Bypass Trachea to Cutaneous, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B114F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B114Z4] Bypass Trachea to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B2] Respiratory System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20X0Z] Change Drainage Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20XYZ] Change Other Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21X0Z] Change Drainage Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XEZ] Change Endotracheal Airway in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XFZ] Change Tracheostomy Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XYZ] Change Other Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KX0Z] Change Drainage Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KXYZ] Change Other Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LX0Z] Change Drainage Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LXYZ] Change Other Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QX0Z] Change Drainage Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QXYZ] Change Other Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TX0Z] Change Drainage Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TXYZ] Change Other Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B5] Respiratory System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0BB54ZZ] Excision of Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB57ZX] Excision of Right Middle Lobe Bronchus, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB57ZZ] Excision of Right Middle Lobe Bronchus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BB58ZX] Excision of Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB58ZZ] Excision of Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BB60ZX] Excision of Right Lower Lobe Bronchus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB60ZZ] Excision of Right Lower Lobe Bronchus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB63ZX] Excision of Right Lower Lobe Bronchus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB63ZZ] Excision of Right Lower Lobe Bronchus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB64ZX] Excision of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB64ZZ] Excision of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB67ZX] Excision of Right Lower Lobe Bronchus, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB67ZZ] Excision of Right Lower Lobe Bronchus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BB68ZX] Excision of Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB68ZZ] Excision of Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BB70ZX] Excision of Left Main Bronchus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB70ZZ] Excision of Left Main Bronchus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB73ZX] Excision of Left Main Bronchus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB73ZZ] Excision of Left Main Bronchus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB74ZX] Excision of Left Main Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB74ZZ] Excision of Left Main Bronchus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB77ZX] Excision of Left Main Bronchus, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB77ZZ] Excision of Left Main Bronchus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BB78ZX] Excision of Left Main Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB78ZZ] Excision of Left Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BB80ZX] Excision of Left Upper Lobe Bronchus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB80ZZ] Excision of Left Upper Lobe Bronchus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB83ZX] Excision of Left Upper Lobe Bronchus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB83ZZ] Excision of Left Upper Lobe Bronchus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB84ZX] Excision of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB84ZZ] Excision of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB87ZX] Excision of Left Upper Lobe Bronchus, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB87ZZ] Excision of Left Upper Lobe Bronchus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BB88ZX] Excision of Left Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB88ZZ] Excision of Left Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BB90ZX] Excision of Lingula Bronchus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB90ZZ] Excision of Lingula Bronchus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB93ZX] Excision of Lingula Bronchus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB93ZZ] Excision of Lingula Bronchus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB94ZX] Excision of Lingula Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB94ZZ] Excision of Lingula Bronchus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BB97ZX] Excision of Lingula Bronchus, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB97ZZ] Excision of Lingula Bronchus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BB98ZX] Excision of Lingula Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BB98ZZ] Excision of Lingula Bronchus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBB0ZX] Excision of Left Lower Lobe Bronchus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBB0ZZ] Excision of Left Lower Lobe Bronchus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBB3ZX] Excision of Left Lower Lobe Bronchus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBB3ZZ] Excision of Left Lower Lobe Bronchus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBB4ZX] Excision of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBB4ZZ] Excision of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBB7ZX] Excision of Left Lower Lobe Bronchus, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBB7ZZ] Excision of Left Lower Lobe Bronchus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBB8ZX] Excision of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBB8ZZ] Excision of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBC0ZX] Excision of Right Upper Lung Lobe, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBC0ZZ] Excision of Right Upper Lung Lobe, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBC3ZX] Excision of Right Upper Lung Lobe, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBC3ZZ] Excision of Right Upper Lung Lobe, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBC4ZX] Excision of Right Upper Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBC4ZZ] Excision of Right Upper Lung Lobe, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBC7ZX] Excision of Right Upper Lung Lobe, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBC7ZZ] Excision of Right Upper Lung Lobe, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBC8ZX] Excision of Right Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBC8ZZ] Excision of Right Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBD0ZX] Excision of Right Middle Lung Lobe, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBD0ZZ] Excision of Right Middle Lung Lobe, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBD3ZX] Excision of Right Middle Lung Lobe, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBD3ZZ] Excision of Right Middle Lung Lobe, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBD4ZX] Excision of Right Middle Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBD4ZZ] Excision of Right Middle Lung Lobe, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBD7ZX] Excision of Right Middle Lung Lobe, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBD7ZZ] Excision of Right Middle Lung Lobe, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBD8ZX] Excision of Right Middle Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBD8ZZ] Excision of Right Middle Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBF0ZX] Excision of Right Lower Lung Lobe, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBF0ZZ] Excision of Right Lower Lung Lobe, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBF3ZX] Excision of Right Lower Lung Lobe, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBF3ZZ] Excision of Right Lower Lung Lobe, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBF4ZX] Excision of Right Lower Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBF4ZZ] Excision of Right Lower Lung Lobe, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBF7ZX] Excision of Right Lower Lung Lobe, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBF7ZZ] Excision of Right Lower Lung Lobe, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBF8ZX] Excision of Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBF8ZZ] Excision of Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBG0ZX] Excision of Left Upper Lung Lobe, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBG0ZZ] Excision of Left Upper Lung Lobe, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBG3ZX] Excision of Left Upper Lung Lobe, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBG3ZZ] Excision of Left Upper Lung Lobe, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBG4ZX] Excision of Left Upper Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBG4ZZ] Excision of Left Upper Lung Lobe, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBG7ZX] Excision of Left Upper Lung Lobe, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBG7ZZ] Excision of Left Upper Lung Lobe, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBG8ZX] Excision of Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBG8ZZ] Excision of Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBH0ZX] Excision of Lung Lingula, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBH0ZZ] Excision of Lung Lingula, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBH3ZX] Excision of Lung Lingula, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBH3ZZ] Excision of Lung Lingula, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBH4ZX] Excision of Lung Lingula, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBH4ZZ] Excision of Lung Lingula, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBH7ZX] Excision of Lung Lingula, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBH7ZZ] Excision of Lung Lingula, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBH8ZX] Excision of Lung Lingula, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBH8ZZ] Excision of Lung Lingula, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBJ0ZX] Excision of Left Lower Lung Lobe, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBJ0ZZ] Excision of Left Lower Lung Lobe, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBJ3ZX] Excision of Left Lower Lung Lobe, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBJ3ZZ] Excision of Left Lower Lung Lobe, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBJ4ZX] Excision of Left Lower Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBJ4ZZ] Excision of Left Lower Lung Lobe, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBJ7ZX] Excision of Left Lower Lung Lobe, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBJ7ZZ] Excision of Left Lower Lung Lobe, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBJ8ZX] Excision of Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBJ8ZZ] Excision of Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBK0ZX] Excision of Right Lung, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBK0ZZ] Excision of Right Lung, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBK3ZX] Excision of Right Lung, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBK3ZZ] Excision of Right Lung, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBK4ZX] Excision of Right Lung, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBK4ZZ] Excision of Right Lung, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBK7ZX] Excision of Right Lung, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBK7ZZ] Excision of Right Lung, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBK8ZX] Excision of Right Lung, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBK8ZZ] Excision of Right Lung, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBL0ZX] Excision of Left Lung, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBL0ZZ] Excision of Left Lung, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBL3ZX] Excision of Left Lung, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBL3ZZ] Excision of Left Lung, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBL4ZX] Excision of Left Lung, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBL4ZZ] Excision of Left Lung, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBL7ZX] Excision of Left Lung, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBL7ZZ] Excision of Left Lung, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBL8ZX] Excision of Left Lung, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBL8ZZ] Excision of Left Lung, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBM0ZX] Excision of Bilateral Lungs, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBM0ZZ] Excision of Bilateral Lungs, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBM3ZX] Excision of Bilateral Lungs, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBM3ZZ] Excision of Bilateral Lungs, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBM4ZX] Excision of Bilateral Lungs, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBM4ZZ] Excision of Bilateral Lungs, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBM7ZX] Excision of Bilateral Lungs, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBM7ZZ] Excision of Bilateral Lungs, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0BBM8ZX] Excision of Bilateral Lungs, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBM8ZZ] Excision of Bilateral Lungs, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBN0ZX] Excision of Right Pleura, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBN0ZZ] Excision of Right Pleura, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBN3ZX] Excision of Right Pleura, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBN3ZZ] Excision of Right Pleura, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBN4ZX] Excision of Right Pleura, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBN4ZZ] Excision of Right Pleura, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBN8ZX] Excision of Right Pleura, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBN8ZZ] Excision of Right Pleura, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBP0ZX] Excision of Left Pleura, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBP0ZZ] Excision of Left Pleura, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBP3ZX] Excision of Left Pleura, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBP3ZZ] Excision of Left Pleura, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBP4ZX] Excision of Left Pleura, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBP4ZZ] Excision of Left Pleura, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBP8ZX] Excision of Left Pleura, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBP8ZZ] Excision of Left Pleura, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0BBT0ZX] Excision of Diaphragm, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBT0ZZ] Excision of Diaphragm, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBT3ZX] Excision of Diaphragm, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBT3ZZ] Excision of Diaphragm, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0BBT4ZX] Excision of Diaphragm, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0BBT4ZZ] Excision of Diaphragm, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0BC] Respiratory System, Extirpation -- Taking or cutting out solid matter from a body part
[0BC10ZZ] Extirpation of Matter from Trachea, Open Approach -- Taking or cutting out solid matter from a body part
[0BC13ZZ] Extirpation of Matter from Trachea, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BC14ZZ] Extirpation of Matter from Trachea, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BC17ZZ] Extirpation of Matter from Trachea, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BC18ZZ] Extirpation of Matter from Trachea, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BC20ZZ] Extirpation of Matter from Carina, Open Approach -- Taking or cutting out solid matter from a body part
[0BC23ZZ] Extirpation of Matter from Carina, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BC24ZZ] Extirpation of Matter from Carina, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BC27ZZ] Extirpation of Matter from Carina, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BC28ZZ] Extirpation of Matter from Carina, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BC30ZZ] Extirpation of Matter from Right Main Bronchus, Open Approach -- Taking or cutting out solid matter from a body part
[0BC33ZZ] Extirpation of Matter from Right Main Bronchus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BC34ZZ] Extirpation of Matter from Right Main Bronchus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BC37ZZ] Extirpation of Matter from Right Main Bronchus, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BC38ZZ] Extirpation of Matter from Right Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BC40ZZ] Extirpation of Matter from Right Upper Lobe Bronchus, Open Approach -- Taking or cutting out solid matter from a body part
[0BC43ZZ] Extirpation of Matter from Right Upper Lobe Bronchus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BC44ZZ] Extirpation of Matter from Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BC47ZZ] Extirpation of Matter from Right Upper Lobe Bronchus, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BC48ZZ] Extirpation of Matter from Right Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BC50ZZ] Extirpation of Matter from Right Middle Lobe Bronchus, Open Approach -- Taking or cutting out solid matter from a body part
[0BC53ZZ] Extirpation of Matter from Right Middle Lobe Bronchus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BC54ZZ] Extirpation of Matter from Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BC57ZZ] Extirpation of Matter from Right Middle Lobe Bronchus, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
