[0N] Head and Facial Bones -- Body system (Head and Facial Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0N2] Head and Facial Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20X0Z] Change Drainage Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20XYZ] Change Other Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BX0Z] Change Drainage Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BXYZ] Change Other Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WX0Z] Change Drainage Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WXYZ] Change Other Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N5] Head and Facial Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0NBV0ZX] Excision of Left Mandible, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0NBV0ZZ] Excision of Left Mandible, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0NBV3ZX] Excision of Left Mandible, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0NBV3ZZ] Excision of Left Mandible, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0NBV4ZX] Excision of Left Mandible, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0NBV4ZZ] Excision of Left Mandible, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0NBX0ZX] Excision of Hyoid Bone, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0NBX0ZZ] Excision of Hyoid Bone, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0NBX3ZX] Excision of Hyoid Bone, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0NBX3ZZ] Excision of Hyoid Bone, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0NBX4ZX] Excision of Hyoid Bone, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0NBX4ZZ] Excision of Hyoid Bone, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0NC] Head and Facial Bones, Extirpation -- Taking or cutting out solid matter from a body part
[0NC10ZZ] Extirpation of Matter from Frontal Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NC13ZZ] Extirpation of Matter from Frontal Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NC14ZZ] Extirpation of Matter from Frontal Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NC30ZZ] Extirpation of Matter from Right Parietal Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NC33ZZ] Extirpation of Matter from Right Parietal Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NC34ZZ] Extirpation of Matter from Right Parietal Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NC40ZZ] Extirpation of Matter from Left Parietal Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NC43ZZ] Extirpation of Matter from Left Parietal Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NC44ZZ] Extirpation of Matter from Left Parietal Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NC50ZZ] Extirpation of Matter from Right Temporal Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NC53ZZ] Extirpation of Matter from Right Temporal Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NC54ZZ] Extirpation of Matter from Right Temporal Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NC60ZZ] Extirpation of Matter from Left Temporal Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NC63ZZ] Extirpation of Matter from Left Temporal Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NC64ZZ] Extirpation of Matter from Left Temporal Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NC70ZZ] Extirpation of Matter from Occipital Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NC73ZZ] Extirpation of Matter from Occipital Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NC74ZZ] Extirpation of Matter from Occipital Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCB0ZZ] Extirpation of Matter from Nasal Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCB3ZZ] Extirpation of Matter from Nasal Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCB4ZZ] Extirpation of Matter from Nasal Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCC0ZZ] Extirpation of Matter from Sphenoid Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCC3ZZ] Extirpation of Matter from Sphenoid Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCC4ZZ] Extirpation of Matter from Sphenoid Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCF0ZZ] Extirpation of Matter from Right Ethmoid Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCF3ZZ] Extirpation of Matter from Right Ethmoid Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCF4ZZ] Extirpation of Matter from Right Ethmoid Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCG0ZZ] Extirpation of Matter from Left Ethmoid Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCG3ZZ] Extirpation of Matter from Left Ethmoid Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCG4ZZ] Extirpation of Matter from Left Ethmoid Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCH0ZZ] Extirpation of Matter from Right Lacrimal Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCH3ZZ] Extirpation of Matter from Right Lacrimal Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCH4ZZ] Extirpation of Matter from Right Lacrimal Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCJ0ZZ] Extirpation of Matter from Left Lacrimal Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCJ3ZZ] Extirpation of Matter from Left Lacrimal Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCJ4ZZ] Extirpation of Matter from Left Lacrimal Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCK0ZZ] Extirpation of Matter from Right Palatine Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCK3ZZ] Extirpation of Matter from Right Palatine Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCK4ZZ] Extirpation of Matter from Right Palatine Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCL0ZZ] Extirpation of Matter from Left Palatine Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCL3ZZ] Extirpation of Matter from Left Palatine Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCL4ZZ] Extirpation of Matter from Left Palatine Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCM0ZZ] Extirpation of Matter from Right Zygomatic Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCM3ZZ] Extirpation of Matter from Right Zygomatic Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCM4ZZ] Extirpation of Matter from Right Zygomatic Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCN0ZZ] Extirpation of Matter from Left Zygomatic Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCN3ZZ] Extirpation of Matter from Left Zygomatic Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCN4ZZ] Extirpation of Matter from Left Zygomatic Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCP0ZZ] Extirpation of Matter from Right Orbit, Open Approach -- Taking or cutting out solid matter from a body part
[0NCP3ZZ] Extirpation of Matter from Right Orbit, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCP4ZZ] Extirpation of Matter from Right Orbit, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCQ0ZZ] Extirpation of Matter from Left Orbit, Open Approach -- Taking or cutting out solid matter from a body part
[0NCQ3ZZ] Extirpation of Matter from Left Orbit, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCQ4ZZ] Extirpation of Matter from Left Orbit, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCR0ZZ] Extirpation of Matter from Maxilla, Open Approach -- Taking or cutting out solid matter from a body part
[0NCR3ZZ] Extirpation of Matter from Maxilla, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCR4ZZ] Extirpation of Matter from Maxilla, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCT0ZZ] Extirpation of Matter from Right Mandible, Open Approach -- Taking or cutting out solid matter from a body part
[0NCT3ZZ] Extirpation of Matter from Right Mandible, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCT4ZZ] Extirpation of Matter from Right Mandible, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCV0ZZ] Extirpation of Matter from Left Mandible, Open Approach -- Taking or cutting out solid matter from a body part
[0NCV3ZZ] Extirpation of Matter from Left Mandible, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCV4ZZ] Extirpation of Matter from Left Mandible, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0NCX0ZZ] Extirpation of Matter from Hyoid Bone, Open Approach -- Taking or cutting out solid matter from a body part
[0NCX3ZZ] Extirpation of Matter from Hyoid Bone, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0NCX4ZZ] Extirpation of Matter from Hyoid Bone, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0ND] Head and Facial Bones, Extraction -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0ND00ZZ] Extraction of Skull, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0ND10ZZ] Extraction of Frontal Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0ND30ZZ] Extraction of Right Parietal Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0ND40ZZ] Extraction of Left Parietal Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0ND50ZZ] Extraction of Right Temporal Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0ND60ZZ] Extraction of Left Temporal Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0ND70ZZ] Extraction of Occipital Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDB0ZZ] Extraction of Nasal Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDC0ZZ] Extraction of Sphenoid Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDF0ZZ] Extraction of Right Ethmoid Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDG0ZZ] Extraction of Left Ethmoid Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDH0ZZ] Extraction of Right Lacrimal Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDJ0ZZ] Extraction of Left Lacrimal Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDK0ZZ] Extraction of Right Palatine Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDL0ZZ] Extraction of Left Palatine Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDM0ZZ] Extraction of Right Zygomatic Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDN0ZZ] Extraction of Left Zygomatic Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDP0ZZ] Extraction of Right Orbit, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDQ0ZZ] Extraction of Left Orbit, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDR0ZZ] Extraction of Maxilla, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDT0ZZ] Extraction of Right Mandible, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDV0ZZ] Extraction of Left Mandible, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NDX0ZZ] Extraction of Hyoid Bone, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0NH] Head and Facial Bones, Insertion -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH003Z] Insertion of Infusion Device into Skull, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH004Z] Insertion of Internal Fixation Device into Skull, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH005Z] Insertion of External Fixation Device into Skull, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH00MZ] Insertion of Bone Growth Stimulator into Skull, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH00NZ] Insertion of Neurostimulator Generator into Skull, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH033Z] Insertion of Infusion Device into Skull, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH034Z] Insertion of Internal Fixation Device into Skull, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH035Z] Insertion of External Fixation Device into Skull, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH03MZ] Insertion of Bone Growth Stimulator into Skull, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH043Z] Insertion of Infusion Device into Skull, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH044Z] Insertion of Internal Fixation Device into Skull, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH045Z] Insertion of External Fixation Device into Skull, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH04MZ] Insertion of Bone Growth Stimulator into Skull, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH104Z] Insertion of Internal Fixation Device into Frontal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH134Z] Insertion of Internal Fixation Device into Frontal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH144Z] Insertion of Internal Fixation Device into Frontal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH304Z] Insertion of Internal Fixation Device into Right Parietal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH334Z] Insertion of Internal Fixation Device into Right Parietal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH344Z] Insertion of Internal Fixation Device into Right Parietal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH404Z] Insertion of Internal Fixation Device into Left Parietal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH434Z] Insertion of Internal Fixation Device into Left Parietal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH444Z] Insertion of Internal Fixation Device into Left Parietal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH504Z] Insertion of Internal Fixation Device into Right Temporal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH50SZ] Insertion of Hearing Device into Right Temporal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH534Z] Insertion of Internal Fixation Device into Right Temporal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH53SZ] Insertion of Hearing Device into Right Temporal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH544Z] Insertion of Internal Fixation Device into Right Temporal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH54SZ] Insertion of Hearing Device into Right Temporal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH604Z] Insertion of Internal Fixation Device into Left Temporal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH60SZ] Insertion of Hearing Device into Left Temporal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH634Z] Insertion of Internal Fixation Device into Left Temporal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH63SZ] Insertion of Hearing Device into Left Temporal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH644Z] Insertion of Internal Fixation Device into Left Temporal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH64SZ] Insertion of Hearing Device into Left Temporal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH704Z] Insertion of Internal Fixation Device into Occipital Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH734Z] Insertion of Internal Fixation Device into Occipital Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NH744Z] Insertion of Internal Fixation Device into Occipital Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHB04Z] Insertion of Internal Fixation Device into Nasal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHB0MZ] Insertion of Bone Growth Stimulator into Nasal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHB34Z] Insertion of Internal Fixation Device into Nasal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHB3MZ] Insertion of Bone Growth Stimulator into Nasal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHB44Z] Insertion of Internal Fixation Device into Nasal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHB4MZ] Insertion of Bone Growth Stimulator into Nasal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHC04Z] Insertion of Internal Fixation Device into Sphenoid Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHC34Z] Insertion of Internal Fixation Device into Sphenoid Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHC44Z] Insertion of Internal Fixation Device into Sphenoid Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHF04Z] Insertion of Internal Fixation Device into Right Ethmoid Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHF34Z] Insertion of Internal Fixation Device into Right Ethmoid Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHF44Z] Insertion of Internal Fixation Device into Right Ethmoid Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHG04Z] Insertion of Internal Fixation Device into Left Ethmoid Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHG34Z] Insertion of Internal Fixation Device into Left Ethmoid Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHG44Z] Insertion of Internal Fixation Device into Left Ethmoid Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHH04Z] Insertion of Internal Fixation Device into Right Lacrimal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHH34Z] Insertion of Internal Fixation Device into Right Lacrimal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHH44Z] Insertion of Internal Fixation Device into Right Lacrimal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHJ04Z] Insertion of Internal Fixation Device into Left Lacrimal Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHJ34Z] Insertion of Internal Fixation Device into Left Lacrimal Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHJ44Z] Insertion of Internal Fixation Device into Left Lacrimal Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHK04Z] Insertion of Internal Fixation Device into Right Palatine Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHK34Z] Insertion of Internal Fixation Device into Right Palatine Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHK44Z] Insertion of Internal Fixation Device into Right Palatine Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHL04Z] Insertion of Internal Fixation Device into Left Palatine Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHL34Z] Insertion of Internal Fixation Device into Left Palatine Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHL44Z] Insertion of Internal Fixation Device into Left Palatine Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHM04Z] Insertion of Internal Fixation Device into Right Zygomatic Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHM34Z] Insertion of Internal Fixation Device into Right Zygomatic Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHM44Z] Insertion of Internal Fixation Device into Right Zygomatic Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHN04Z] Insertion of Internal Fixation Device into Left Zygomatic Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHN34Z] Insertion of Internal Fixation Device into Left Zygomatic Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHN44Z] Insertion of Internal Fixation Device into Left Zygomatic Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHP04Z] Insertion of Internal Fixation Device into Right Orbit, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHP34Z] Insertion of Internal Fixation Device into Right Orbit, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHP44Z] Insertion of Internal Fixation Device into Right Orbit, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHQ04Z] Insertion of Internal Fixation Device into Left Orbit, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHQ34Z] Insertion of Internal Fixation Device into Left Orbit, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHQ44Z] Insertion of Internal Fixation Device into Left Orbit, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHR04Z] Insertion of Internal Fixation Device into Maxilla, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHR05Z] Insertion of External Fixation Device into Maxilla, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHR34Z] Insertion of Internal Fixation Device into Maxilla, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHR35Z] Insertion of External Fixation Device into Maxilla, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
