[0F] Hepatobiliary System and Pancreas -- Body system (Hepatobiliary System and Pancreas) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0F1] Hepatobiliary System and Pancreas, Bypass -- Altering the route of passage of the contents of a tubular body part
[0F8G0ZZ] Division of Pancreas, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0F8G3ZZ] Division of Pancreas, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0F8G4ZZ] Division of Pancreas, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0F9] Hepatobiliary System and Pancreas, Drainage -- Taking or letting out fluids and/or gases from a body part
[0F9000Z] Drainage of Liver with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F900ZX] Drainage of Liver, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F900ZZ] Drainage of Liver, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9030Z] Drainage of Liver with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F903ZX] Drainage of Liver, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F903ZZ] Drainage of Liver, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9040Z] Drainage of Liver with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F904ZX] Drainage of Liver, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F904ZZ] Drainage of Liver, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9100Z] Drainage of Right Lobe Liver with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F910ZX] Drainage of Right Lobe Liver, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F910ZZ] Drainage of Right Lobe Liver, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9130Z] Drainage of Right Lobe Liver with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F913ZX] Drainage of Right Lobe Liver, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F913ZZ] Drainage of Right Lobe Liver, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9140Z] Drainage of Right Lobe Liver with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F914ZX] Drainage of Right Lobe Liver, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F914ZZ] Drainage of Right Lobe Liver, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9200Z] Drainage of Left Lobe Liver with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F920ZX] Drainage of Left Lobe Liver, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F920ZZ] Drainage of Left Lobe Liver, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9230Z] Drainage of Left Lobe Liver with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F923ZX] Drainage of Left Lobe Liver, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F923ZZ] Drainage of Left Lobe Liver, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9240Z] Drainage of Left Lobe Liver with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F924ZX] Drainage of Left Lobe Liver, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F924ZZ] Drainage of Left Lobe Liver, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9400Z] Drainage of Gallbladder with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F940ZX] Drainage of Gallbladder, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F940ZZ] Drainage of Gallbladder, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9430Z] Drainage of Gallbladder with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F943ZX] Drainage of Gallbladder, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F943ZZ] Drainage of Gallbladder, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9440Z] Drainage of Gallbladder with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F944ZX] Drainage of Gallbladder, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F944ZZ] Drainage of Gallbladder, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9480Z] Drainage of Gallbladder with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F948ZX] Drainage of Gallbladder, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F948ZZ] Drainage of Gallbladder, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9500Z] Drainage of Right Hepatic Duct with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F950ZX] Drainage of Right Hepatic Duct, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F950ZZ] Drainage of Right Hepatic Duct, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9530Z] Drainage of Right Hepatic Duct with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F953ZX] Drainage of Right Hepatic Duct, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F953ZZ] Drainage of Right Hepatic Duct, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9540Z] Drainage of Right Hepatic Duct with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F954ZX] Drainage of Right Hepatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F954ZZ] Drainage of Right Hepatic Duct, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9570Z] Drainage of Right Hepatic Duct with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F957ZX] Drainage of Right Hepatic Duct, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F957ZZ] Drainage of Right Hepatic Duct, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9580Z] Drainage of Right Hepatic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F958ZX] Drainage of Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F958ZZ] Drainage of Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9600Z] Drainage of Left Hepatic Duct with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F960ZX] Drainage of Left Hepatic Duct, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F960ZZ] Drainage of Left Hepatic Duct, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9630Z] Drainage of Left Hepatic Duct with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F963ZX] Drainage of Left Hepatic Duct, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F963ZZ] Drainage of Left Hepatic Duct, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9640Z] Drainage of Left Hepatic Duct with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F964ZX] Drainage of Left Hepatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F964ZZ] Drainage of Left Hepatic Duct, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9670Z] Drainage of Left Hepatic Duct with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F967ZX] Drainage of Left Hepatic Duct, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F967ZZ] Drainage of Left Hepatic Duct, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9680Z] Drainage of Left Hepatic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F968ZX] Drainage of Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F968ZZ] Drainage of Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9700Z] Drainage of Common Hepatic Duct with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F970ZX] Drainage of Common Hepatic Duct, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F970ZZ] Drainage of Common Hepatic Duct, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9730Z] Drainage of Common Hepatic Duct with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F973ZX] Drainage of Common Hepatic Duct, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F973ZZ] Drainage of Common Hepatic Duct, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9740Z] Drainage of Common Hepatic Duct with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F974ZX] Drainage of Common Hepatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F974ZZ] Drainage of Common Hepatic Duct, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9770Z] Drainage of Common Hepatic Duct with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F977ZX] Drainage of Common Hepatic Duct, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F977ZZ] Drainage of Common Hepatic Duct, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9780Z] Drainage of Common Hepatic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F978ZX] Drainage of Common Hepatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F978ZZ] Drainage of Common Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9800Z] Drainage of Cystic Duct with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F980ZX] Drainage of Cystic Duct, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F980ZZ] Drainage of Cystic Duct, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9830Z] Drainage of Cystic Duct with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F983ZX] Drainage of Cystic Duct, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F983ZZ] Drainage of Cystic Duct, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9840Z] Drainage of Cystic Duct with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F984ZX] Drainage of Cystic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F984ZZ] Drainage of Cystic Duct, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9870Z] Drainage of Cystic Duct with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F987ZX] Drainage of Cystic Duct, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F987ZZ] Drainage of Cystic Duct, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9880Z] Drainage of Cystic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F988ZX] Drainage of Cystic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F988ZZ] Drainage of Cystic Duct, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9900Z] Drainage of Common Bile Duct with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F990ZX] Drainage of Common Bile Duct, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F990ZZ] Drainage of Common Bile Duct, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9930Z] Drainage of Common Bile Duct with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F993ZX] Drainage of Common Bile Duct, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F993ZZ] Drainage of Common Bile Duct, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9940Z] Drainage of Common Bile Duct with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F994ZX] Drainage of Common Bile Duct, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F994ZZ] Drainage of Common Bile Duct, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9970Z] Drainage of Common Bile Duct with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F997ZX] Drainage of Common Bile Duct, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F997ZZ] Drainage of Common Bile Duct, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9980Z] Drainage of Common Bile Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F998ZX] Drainage of Common Bile Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F998ZZ] Drainage of Common Bile Duct, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9C00Z] Drainage of Ampulla of Vater with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9C0ZX] Drainage of Ampulla of Vater, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9C0ZZ] Drainage of Ampulla of Vater, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9C30Z] Drainage of Ampulla of Vater with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9C3ZX] Drainage of Ampulla of Vater, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9C3ZZ] Drainage of Ampulla of Vater, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9C40Z] Drainage of Ampulla of Vater with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9C4ZX] Drainage of Ampulla of Vater, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9C4ZZ] Drainage of Ampulla of Vater, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9C70Z] Drainage of Ampulla of Vater with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9C7ZX] Drainage of Ampulla of Vater, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9C7ZZ] Drainage of Ampulla of Vater, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9C80Z] Drainage of Ampulla of Vater with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9C8ZX] Drainage of Ampulla of Vater, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9C8ZZ] Drainage of Ampulla of Vater, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9D00Z] Drainage of Pancreatic Duct with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9D0ZX] Drainage of Pancreatic Duct, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9D0ZZ] Drainage of Pancreatic Duct, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9D30Z] Drainage of Pancreatic Duct with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9D3ZX] Drainage of Pancreatic Duct, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9D3ZZ] Drainage of Pancreatic Duct, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9D40Z] Drainage of Pancreatic Duct with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9D4ZX] Drainage of Pancreatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9D4ZZ] Drainage of Pancreatic Duct, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9D70Z] Drainage of Pancreatic Duct with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9D7ZX] Drainage of Pancreatic Duct, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9D7ZZ] Drainage of Pancreatic Duct, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9D80Z] Drainage of Pancreatic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9D8ZX] Drainage of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9D8ZZ] Drainage of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9F00Z] Drainage of Accessory Pancreatic Duct with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9F0ZX] Drainage of Accessory Pancreatic Duct, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9F0ZZ] Drainage of Accessory Pancreatic Duct, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9F30Z] Drainage of Accessory Pancreatic Duct with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9F3ZX] Drainage of Accessory Pancreatic Duct, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9F3ZZ] Drainage of Accessory Pancreatic Duct, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9F40Z] Drainage of Accessory Pancreatic Duct with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9F4ZX] Drainage of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9F4ZZ] Drainage of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9F70Z] Drainage of Accessory Pancreatic Duct with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9F7ZX] Drainage of Accessory Pancreatic Duct, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9F7ZZ] Drainage of Accessory Pancreatic Duct, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0F9F80Z] Drainage of Accessory Pancreatic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9F8ZX] Drainage of Accessory Pancreatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9F8ZZ] Drainage of Accessory Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9G00Z] Drainage of Pancreas with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9G0ZX] Drainage of Pancreas, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9G0ZZ] Drainage of Pancreas, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0F9G30Z] Drainage of Pancreas with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9G3ZX] Drainage of Pancreas, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9G3ZZ] Drainage of Pancreas, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0F9G40Z] Drainage of Pancreas with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9G4ZX] Drainage of Pancreas, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9G4ZZ] Drainage of Pancreas, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0F9G80Z] Drainage of Pancreas with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0F9G8ZX] Drainage of Pancreas, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0F9G8ZZ] Drainage of Pancreas, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0FB] Hepatobiliary System and Pancreas, Excision -- Cutting out or off, without replacement, a portion of a body part
[0FB00ZX] Excision of Liver, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB00ZZ] Excision of Liver, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB03ZX] Excision of Liver, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB03ZZ] Excision of Liver, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB04ZG] Excision of Liver, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, a portion of a body part
[0FB04ZX] Excision of Liver, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB04ZZ] Excision of Liver, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB10ZX] Excision of Right Lobe Liver, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB10ZZ] Excision of Right Lobe Liver, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB13ZX] Excision of Right Lobe Liver, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB13ZZ] Excision of Right Lobe Liver, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB14ZG] Excision of Right Lobe Liver, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, a portion of a body part
[0FB14ZX] Excision of Right Lobe Liver, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB14ZZ] Excision of Right Lobe Liver, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB20ZX] Excision of Left Lobe Liver, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB20ZZ] Excision of Left Lobe Liver, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB23ZX] Excision of Left Lobe Liver, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB23ZZ] Excision of Left Lobe Liver, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB24ZG] Excision of Left Lobe Liver, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, a portion of a body part
[0FB24ZX] Excision of Left Lobe Liver, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB24ZZ] Excision of Left Lobe Liver, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB40ZX] Excision of Gallbladder, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB40ZZ] Excision of Gallbladder, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB43ZX] Excision of Gallbladder, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB43ZZ] Excision of Gallbladder, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB44ZX] Excision of Gallbladder, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB44ZZ] Excision of Gallbladder, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB48ZX] Excision of Gallbladder, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB48ZZ] Excision of Gallbladder, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0FB50ZX] Excision of Right Hepatic Duct, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB50ZZ] Excision of Right Hepatic Duct, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB53ZX] Excision of Right Hepatic Duct, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB53ZZ] Excision of Right Hepatic Duct, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB54ZX] Excision of Right Hepatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB54ZZ] Excision of Right Hepatic Duct, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB57ZX] Excision of Right Hepatic Duct, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB57ZZ] Excision of Right Hepatic Duct, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0FB58ZX] Excision of Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB58ZZ] Excision of Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0FB60ZX] Excision of Left Hepatic Duct, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB60ZZ] Excision of Left Hepatic Duct, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB63ZX] Excision of Left Hepatic Duct, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB63ZZ] Excision of Left Hepatic Duct, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB64ZX] Excision of Left Hepatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB64ZZ] Excision of Left Hepatic Duct, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB67ZX] Excision of Left Hepatic Duct, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB67ZZ] Excision of Left Hepatic Duct, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0FB68ZX] Excision of Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB68ZZ] Excision of Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
