[07] Lymphatic and Hemic Systems -- Body system (Lymphatic and Hemic Systems) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[071] Lymphatic and Hemic Systems, Bypass -- Altering the route of passage of the contents of a tubular body part
[07974ZZ] Drainage of Thorax Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079780Z] Drainage of Thorax Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[07978ZX] Drainage of Thorax Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07978ZZ] Drainage of Thorax Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079800Z] Drainage of Right Internal Mammary Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[07980ZX] Drainage of Right Internal Mammary Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07980ZZ] Drainage of Right Internal Mammary Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079830Z] Drainage of Right Internal Mammary Lymphatic with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[07983ZX] Drainage of Right Internal Mammary Lymphatic, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07983ZZ] Drainage of Right Internal Mammary Lymphatic, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079840Z] Drainage of Right Internal Mammary Lymphatic with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[07984ZX] Drainage of Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07984ZZ] Drainage of Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079880Z] Drainage of Right Internal Mammary Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[07988ZX] Drainage of Right Internal Mammary Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07988ZZ] Drainage of Right Internal Mammary Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079900Z] Drainage of Left Internal Mammary Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[07990ZX] Drainage of Left Internal Mammary Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07990ZZ] Drainage of Left Internal Mammary Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079930Z] Drainage of Left Internal Mammary Lymphatic with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[07993ZX] Drainage of Left Internal Mammary Lymphatic, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07993ZZ] Drainage of Left Internal Mammary Lymphatic, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079940Z] Drainage of Left Internal Mammary Lymphatic with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[07994ZX] Drainage of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07994ZZ] Drainage of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079980Z] Drainage of Left Internal Mammary Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[07998ZX] Drainage of Left Internal Mammary Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07998ZZ] Drainage of Left Internal Mammary Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079B00Z] Drainage of Mesenteric Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079B0ZX] Drainage of Mesenteric Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079B0ZZ] Drainage of Mesenteric Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079B30Z] Drainage of Mesenteric Lymphatic with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079B3ZX] Drainage of Mesenteric Lymphatic, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079B3ZZ] Drainage of Mesenteric Lymphatic, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079B40Z] Drainage of Mesenteric Lymphatic with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079B4ZX] Drainage of Mesenteric Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079B4ZZ] Drainage of Mesenteric Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079B80Z] Drainage of Mesenteric Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079B8ZX] Drainage of Mesenteric Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079B8ZZ] Drainage of Mesenteric Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079C00Z] Drainage of Pelvis Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079C0ZX] Drainage of Pelvis Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079C0ZZ] Drainage of Pelvis Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079C30Z] Drainage of Pelvis Lymphatic with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079C3ZX] Drainage of Pelvis Lymphatic, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079C3ZZ] Drainage of Pelvis Lymphatic, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079C40Z] Drainage of Pelvis Lymphatic with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079C4ZX] Drainage of Pelvis Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079C4ZZ] Drainage of Pelvis Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079C80Z] Drainage of Pelvis Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079C8ZX] Drainage of Pelvis Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079C8ZZ] Drainage of Pelvis Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079D00Z] Drainage of Aortic Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079D0ZX] Drainage of Aortic Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079D0ZZ] Drainage of Aortic Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079D30Z] Drainage of Aortic Lymphatic with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079D3ZX] Drainage of Aortic Lymphatic, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079D3ZZ] Drainage of Aortic Lymphatic, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079D40Z] Drainage of Aortic Lymphatic with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079D4ZX] Drainage of Aortic Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079D4ZZ] Drainage of Aortic Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079D80Z] Drainage of Aortic Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079D8ZX] Drainage of Aortic Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079D8ZZ] Drainage of Aortic Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079F00Z] Drainage of Right Lower Extremity Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079F0ZX] Drainage of Right Lower Extremity Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079F0ZZ] Drainage of Right Lower Extremity Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079F30Z] Drainage of Right Lower Extremity Lymphatic with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079F3ZX] Drainage of Right Lower Extremity Lymphatic, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079F3ZZ] Drainage of Right Lower Extremity Lymphatic, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079F40Z] Drainage of Right Lower Extremity Lymphatic with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079F4ZX] Drainage of Right Lower Extremity Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079F4ZZ] Drainage of Right Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079F80Z] Drainage of Right Lower Extremity Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079F8ZX] Drainage of Right Lower Extremity Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079F8ZZ] Drainage of Right Lower Extremity Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079G00Z] Drainage of Left Lower Extremity Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079G0ZX] Drainage of Left Lower Extremity Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079G0ZZ] Drainage of Left Lower Extremity Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079G30Z] Drainage of Left Lower Extremity Lymphatic with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079G3ZX] Drainage of Left Lower Extremity Lymphatic, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079G3ZZ] Drainage of Left Lower Extremity Lymphatic, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079G40Z] Drainage of Left Lower Extremity Lymphatic with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079G4ZX] Drainage of Left Lower Extremity Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079G4ZZ] Drainage of Left Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079G80Z] Drainage of Left Lower Extremity Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079G8ZX] Drainage of Left Lower Extremity Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079G8ZZ] Drainage of Left Lower Extremity Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079H00Z] Drainage of Right Inguinal Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079H0ZX] Drainage of Right Inguinal Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079H0ZZ] Drainage of Right Inguinal Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079H30Z] Drainage of Right Inguinal Lymphatic with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079H3ZX] Drainage of Right Inguinal Lymphatic, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079H3ZZ] Drainage of Right Inguinal Lymphatic, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079H40Z] Drainage of Right Inguinal Lymphatic with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079H4ZX] Drainage of Right Inguinal Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079H4ZZ] Drainage of Right Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079H80Z] Drainage of Right Inguinal Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079H8ZX] Drainage of Right Inguinal Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079H8ZZ] Drainage of Right Inguinal Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079J00Z] Drainage of Left Inguinal Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079J0ZX] Drainage of Left Inguinal Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079J0ZZ] Drainage of Left Inguinal Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079J30Z] Drainage of Left Inguinal Lymphatic with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079J3ZX] Drainage of Left Inguinal Lymphatic, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079J3ZZ] Drainage of Left Inguinal Lymphatic, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079J40Z] Drainage of Left Inguinal Lymphatic with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079J4ZX] Drainage of Left Inguinal Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079J4ZZ] Drainage of Left Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079J80Z] Drainage of Left Inguinal Lymphatic with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079J8ZX] Drainage of Left Inguinal Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079J8ZZ] Drainage of Left Inguinal Lymphatic, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079K00Z] Drainage of Thoracic Duct with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079K0ZX] Drainage of Thoracic Duct, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079K0ZZ] Drainage of Thoracic Duct, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079K30Z] Drainage of Thoracic Duct with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079K3ZX] Drainage of Thoracic Duct, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079K3ZZ] Drainage of Thoracic Duct, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079K40Z] Drainage of Thoracic Duct with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079K4ZX] Drainage of Thoracic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079K4ZZ] Drainage of Thoracic Duct, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079K80Z] Drainage of Thoracic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079K8ZX] Drainage of Thoracic Duct, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079K8ZZ] Drainage of Thoracic Duct, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079L00Z] Drainage of Cisterna Chyli with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079L0ZX] Drainage of Cisterna Chyli, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079L0ZZ] Drainage of Cisterna Chyli, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079L30Z] Drainage of Cisterna Chyli with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079L3ZX] Drainage of Cisterna Chyli, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079L3ZZ] Drainage of Cisterna Chyli, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079L40Z] Drainage of Cisterna Chyli with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079L4ZX] Drainage of Cisterna Chyli, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079L4ZZ] Drainage of Cisterna Chyli, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079L80Z] Drainage of Cisterna Chyli with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079L8ZX] Drainage of Cisterna Chyli, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079L8ZZ] Drainage of Cisterna Chyli, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[079M00Z] Drainage of Thymus with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079M0ZX] Drainage of Thymus, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079M0ZZ] Drainage of Thymus, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079M30Z] Drainage of Thymus with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079M3ZX] Drainage of Thymus, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079M3ZZ] Drainage of Thymus, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079M40Z] Drainage of Thymus with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079M4ZX] Drainage of Thymus, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079M4ZZ] Drainage of Thymus, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079P00Z] Drainage of Spleen with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079P0ZX] Drainage of Spleen, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079P0ZZ] Drainage of Spleen, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079P30Z] Drainage of Spleen with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079P3ZX] Drainage of Spleen, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079P3ZZ] Drainage of Spleen, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079P40Z] Drainage of Spleen with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079P4ZX] Drainage of Spleen, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079P4ZZ] Drainage of Spleen, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079T00Z] Drainage of Bone Marrow with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079T0ZX] Drainage of Bone Marrow, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079T0ZZ] Drainage of Bone Marrow, Open Approach -- Taking or letting out fluids and/or gases from a body part
[079T30Z] Drainage of Bone Marrow with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079T3ZX] Drainage of Bone Marrow, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079T3ZZ] Drainage of Bone Marrow, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[079T40Z] Drainage of Bone Marrow with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[079T4ZX] Drainage of Bone Marrow, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[079T4ZZ] Drainage of Bone Marrow, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[07B] Lymphatic and Hemic Systems, Excision -- Cutting out or off, without replacement, a portion of a body part
[07B00ZX] Excision of Head Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B00ZZ] Excision of Head Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07B03ZX] Excision of Head Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B03ZZ] Excision of Head Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B04ZX] Excision of Head Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B04ZZ] Excision of Head Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07B10ZX] Excision of Right Neck Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B10ZZ] Excision of Right Neck Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07B13ZX] Excision of Right Neck Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B13ZZ] Excision of Right Neck Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B14ZX] Excision of Right Neck Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B14ZZ] Excision of Right Neck Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07B20ZX] Excision of Left Neck Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B20ZZ] Excision of Left Neck Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07B23ZX] Excision of Left Neck Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B23ZZ] Excision of Left Neck Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B24ZX] Excision of Left Neck Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B24ZZ] Excision of Left Neck Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07B30ZX] Excision of Right Upper Extremity Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B30ZZ] Excision of Right Upper Extremity Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07B33ZX] Excision of Right Upper Extremity Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B33ZZ] Excision of Right Upper Extremity Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B34ZX] Excision of Right Upper Extremity Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B34ZZ] Excision of Right Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07B40ZX] Excision of Left Upper Extremity Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B40ZZ] Excision of Left Upper Extremity Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07B43ZX] Excision of Left Upper Extremity Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B43ZZ] Excision of Left Upper Extremity Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B44ZX] Excision of Left Upper Extremity Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B44ZZ] Excision of Left Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07B50ZX] Excision of Right Axillary Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B50ZZ] Excision of Right Axillary Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07B53ZX] Excision of Right Axillary Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B53ZZ] Excision of Right Axillary Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B54ZX] Excision of Right Axillary Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B54ZZ] Excision of Right Axillary Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07B60ZX] Excision of Left Axillary Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B60ZZ] Excision of Left Axillary Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07B63ZX] Excision of Left Axillary Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B63ZZ] Excision of Left Axillary Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B64ZX] Excision of Left Axillary Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B64ZZ] Excision of Left Axillary Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07B70ZX] Excision of Thorax Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B70ZZ] Excision of Thorax Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07B73ZX] Excision of Thorax Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B73ZZ] Excision of Thorax Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B74ZX] Excision of Thorax Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B74ZZ] Excision of Thorax Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07B80ZX] Excision of Right Internal Mammary Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B80ZZ] Excision of Right Internal Mammary Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07B83ZX] Excision of Right Internal Mammary Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B83ZZ] Excision of Right Internal Mammary Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B84ZX] Excision of Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B84ZZ] Excision of Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07B90ZX] Excision of Left Internal Mammary Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B90ZZ] Excision of Left Internal Mammary Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
