[0M] Bursae and Ligaments -- Body system (Bursae and Ligaments) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0M2] Bursae and Ligaments, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XX0Z] Change Drainage Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XXYZ] Change Other Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YX0Z] Change Drainage Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YXYZ] Change Other Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M5] Bursae and Ligaments, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M984ZZ] Drainage of Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9900Z] Drainage of Right Upper Extremity Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M990ZX] Drainage of Right Upper Extremity Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M990ZZ] Drainage of Right Upper Extremity Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9930Z] Drainage of Right Upper Extremity Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M993ZX] Drainage of Right Upper Extremity Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M993ZZ] Drainage of Right Upper Extremity Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9940Z] Drainage of Right Upper Extremity Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M994ZX] Drainage of Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M994ZZ] Drainage of Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9B00Z] Drainage of Left Upper Extremity Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9B0ZX] Drainage of Left Upper Extremity Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9B0ZZ] Drainage of Left Upper Extremity Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9B30Z] Drainage of Left Upper Extremity Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9B3ZX] Drainage of Left Upper Extremity Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9B3ZZ] Drainage of Left Upper Extremity Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9B40Z] Drainage of Left Upper Extremity Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9B4ZX] Drainage of Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9B4ZZ] Drainage of Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9C00Z] Drainage of Upper Spine Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9C0ZX] Drainage of Upper Spine Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9C0ZZ] Drainage of Upper Spine Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9C30Z] Drainage of Upper Spine Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9C3ZX] Drainage of Upper Spine Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9C3ZZ] Drainage of Upper Spine Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9C40Z] Drainage of Upper Spine Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9C4ZX] Drainage of Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9C4ZZ] Drainage of Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9D00Z] Drainage of Lower Spine Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9D0ZX] Drainage of Lower Spine Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9D0ZZ] Drainage of Lower Spine Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9D30Z] Drainage of Lower Spine Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9D3ZX] Drainage of Lower Spine Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9D3ZZ] Drainage of Lower Spine Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9D40Z] Drainage of Lower Spine Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9D4ZX] Drainage of Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9D4ZZ] Drainage of Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9F00Z] Drainage of Sternum Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9F0ZX] Drainage of Sternum Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9F0ZZ] Drainage of Sternum Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9F30Z] Drainage of Sternum Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9F3ZX] Drainage of Sternum Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9F3ZZ] Drainage of Sternum Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9F40Z] Drainage of Sternum Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9F4ZX] Drainage of Sternum Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9F4ZZ] Drainage of Sternum Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9G00Z] Drainage of Rib(s) Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9G0ZX] Drainage of Rib(s) Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9G0ZZ] Drainage of Rib(s) Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9G30Z] Drainage of Rib(s) Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9G3ZX] Drainage of Rib(s) Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9G3ZZ] Drainage of Rib(s) Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9G40Z] Drainage of Rib(s) Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9G4ZX] Drainage of Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9G4ZZ] Drainage of Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9H00Z] Drainage of Right Abdomen Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9H0ZX] Drainage of Right Abdomen Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9H0ZZ] Drainage of Right Abdomen Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9H30Z] Drainage of Right Abdomen Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9H3ZX] Drainage of Right Abdomen Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9H3ZZ] Drainage of Right Abdomen Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9H40Z] Drainage of Right Abdomen Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9H4ZX] Drainage of Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9H4ZZ] Drainage of Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9J00Z] Drainage of Left Abdomen Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9J0ZX] Drainage of Left Abdomen Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9J0ZZ] Drainage of Left Abdomen Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9J30Z] Drainage of Left Abdomen Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9J3ZX] Drainage of Left Abdomen Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9J3ZZ] Drainage of Left Abdomen Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9J40Z] Drainage of Left Abdomen Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9J4ZX] Drainage of Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9J4ZZ] Drainage of Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9K00Z] Drainage of Perineum Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9K0ZX] Drainage of Perineum Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9K0ZZ] Drainage of Perineum Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9K30Z] Drainage of Perineum Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9K3ZX] Drainage of Perineum Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9K3ZZ] Drainage of Perineum Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9K40Z] Drainage of Perineum Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9K4ZX] Drainage of Perineum Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9K4ZZ] Drainage of Perineum Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9L00Z] Drainage of Right Hip Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9L0ZX] Drainage of Right Hip Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9L0ZZ] Drainage of Right Hip Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9L30Z] Drainage of Right Hip Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9L3ZX] Drainage of Right Hip Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9L3ZZ] Drainage of Right Hip Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9L40Z] Drainage of Right Hip Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9L4ZX] Drainage of Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9L4ZZ] Drainage of Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9M00Z] Drainage of Left Hip Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9M0ZX] Drainage of Left Hip Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9M0ZZ] Drainage of Left Hip Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9M30Z] Drainage of Left Hip Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9M3ZX] Drainage of Left Hip Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9M3ZZ] Drainage of Left Hip Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9M40Z] Drainage of Left Hip Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9M4ZX] Drainage of Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9M4ZZ] Drainage of Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9N00Z] Drainage of Right Knee Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9N0ZX] Drainage of Right Knee Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9N0ZZ] Drainage of Right Knee Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9N30Z] Drainage of Right Knee Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9N3ZX] Drainage of Right Knee Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9N3ZZ] Drainage of Right Knee Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9N40Z] Drainage of Right Knee Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9N4ZX] Drainage of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9N4ZZ] Drainage of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9P00Z] Drainage of Left Knee Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9P0ZX] Drainage of Left Knee Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9P0ZZ] Drainage of Left Knee Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9P30Z] Drainage of Left Knee Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9P3ZX] Drainage of Left Knee Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9P3ZZ] Drainage of Left Knee Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9P40Z] Drainage of Left Knee Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9P4ZX] Drainage of Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9P4ZZ] Drainage of Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9Q00Z] Drainage of Right Ankle Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9Q0ZX] Drainage of Right Ankle Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9Q0ZZ] Drainage of Right Ankle Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9Q30Z] Drainage of Right Ankle Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9Q3ZX] Drainage of Right Ankle Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9Q3ZZ] Drainage of Right Ankle Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9Q40Z] Drainage of Right Ankle Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9Q4ZX] Drainage of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9Q4ZZ] Drainage of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9R00Z] Drainage of Left Ankle Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9R0ZX] Drainage of Left Ankle Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9R0ZZ] Drainage of Left Ankle Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9R30Z] Drainage of Left Ankle Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9R3ZX] Drainage of Left Ankle Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9R3ZZ] Drainage of Left Ankle Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9R40Z] Drainage of Left Ankle Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9R4ZX] Drainage of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9R4ZZ] Drainage of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9S00Z] Drainage of Right Foot Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9S0ZX] Drainage of Right Foot Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9S0ZZ] Drainage of Right Foot Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9S30Z] Drainage of Right Foot Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9S3ZX] Drainage of Right Foot Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9S3ZZ] Drainage of Right Foot Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9S40Z] Drainage of Right Foot Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9S4ZX] Drainage of Right Foot Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9S4ZZ] Drainage of Right Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9T00Z] Drainage of Left Foot Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9T0ZX] Drainage of Left Foot Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9T0ZZ] Drainage of Left Foot Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9T30Z] Drainage of Left Foot Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9T3ZX] Drainage of Left Foot Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9T3ZZ] Drainage of Left Foot Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9T40Z] Drainage of Left Foot Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9T4ZX] Drainage of Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9T4ZZ] Drainage of Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9V00Z] Drainage of Right Lower Extremity Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9V0ZX] Drainage of Right Lower Extremity Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9V0ZZ] Drainage of Right Lower Extremity Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9V30Z] Drainage of Right Lower Extremity Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9V3ZX] Drainage of Right Lower Extremity Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9V3ZZ] Drainage of Right Lower Extremity Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9V40Z] Drainage of Right Lower Extremity Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9V4ZX] Drainage of Right Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9V4ZZ] Drainage of Right Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9W00Z] Drainage of Left Lower Extremity Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9W0ZX] Drainage of Left Lower Extremity Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9W0ZZ] Drainage of Left Lower Extremity Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9W30Z] Drainage of Left Lower Extremity Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9W3ZX] Drainage of Left Lower Extremity Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9W3ZZ] Drainage of Left Lower Extremity Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9W40Z] Drainage of Left Lower Extremity Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9W4ZX] Drainage of Left Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M9W4ZZ] Drainage of Left Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0MB] Bursae and Ligaments, Excision -- Cutting out or off, without replacement, a portion of a body part
[0MB00ZX] Excision of Head and Neck Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB00ZZ] Excision of Head and Neck Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB03ZX] Excision of Head and Neck Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB03ZZ] Excision of Head and Neck Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB04ZX] Excision of Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB04ZZ] Excision of Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB10ZX] Excision of Right Shoulder Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB10ZZ] Excision of Right Shoulder Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB13ZX] Excision of Right Shoulder Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB13ZZ] Excision of Right Shoulder Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB14ZX] Excision of Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB14ZZ] Excision of Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB20ZX] Excision of Left Shoulder Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB20ZZ] Excision of Left Shoulder Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB23ZX] Excision of Left Shoulder Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB23ZZ] Excision of Left Shoulder Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB24ZX] Excision of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB24ZZ] Excision of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB30ZX] Excision of Right Elbow Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB30ZZ] Excision of Right Elbow Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB33ZX] Excision of Right Elbow Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB33ZZ] Excision of Right Elbow Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB34ZX] Excision of Right Elbow Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB34ZZ] Excision of Right Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB40ZX] Excision of Left Elbow Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB40ZZ] Excision of Left Elbow Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB43ZX] Excision of Left Elbow Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
