[0G] Endocrine System -- Body system (Endocrine System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0G2] Endocrine System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G20X0Z] Change Drainage Device in Pituitary Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G20XYZ] Change Other Device in Pituitary Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G21X0Z] Change Drainage Device in Pineal Body, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G21XYZ] Change Other Device in Pineal Body, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G25X0Z] Change Drainage Device in Adrenal Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G25XYZ] Change Other Device in Adrenal Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2KX0Z] Change Drainage Device in Thyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2KXYZ] Change Other Device in Thyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2RX0Z] Change Drainage Device in Parathyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2RXYZ] Change Other Device in Parathyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2SX0Z] Change Drainage Device in Endocrine Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2SXYZ] Change Other Device in Endocrine Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G5] Endocrine System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0G903ZZ] Drainage of Pituitary Gland, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9040Z] Drainage of Pituitary Gland with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G904ZX] Drainage of Pituitary Gland, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G904ZZ] Drainage of Pituitary Gland, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9100Z] Drainage of Pineal Body with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G910ZX] Drainage of Pineal Body, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G910ZZ] Drainage of Pineal Body, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9130Z] Drainage of Pineal Body with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G913ZX] Drainage of Pineal Body, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G913ZZ] Drainage of Pineal Body, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9140Z] Drainage of Pineal Body with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G914ZX] Drainage of Pineal Body, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G914ZZ] Drainage of Pineal Body, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9200Z] Drainage of Left Adrenal Gland with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G920ZX] Drainage of Left Adrenal Gland, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G920ZZ] Drainage of Left Adrenal Gland, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9230Z] Drainage of Left Adrenal Gland with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G923ZX] Drainage of Left Adrenal Gland, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G923ZZ] Drainage of Left Adrenal Gland, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9240Z] Drainage of Left Adrenal Gland with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G924ZX] Drainage of Left Adrenal Gland, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G924ZZ] Drainage of Left Adrenal Gland, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9300Z] Drainage of Right Adrenal Gland with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G930ZX] Drainage of Right Adrenal Gland, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G930ZZ] Drainage of Right Adrenal Gland, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9330Z] Drainage of Right Adrenal Gland with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G933ZX] Drainage of Right Adrenal Gland, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G933ZZ] Drainage of Right Adrenal Gland, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9340Z] Drainage of Right Adrenal Gland with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G934ZX] Drainage of Right Adrenal Gland, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G934ZZ] Drainage of Right Adrenal Gland, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9400Z] Drainage of Bilateral Adrenal Glands with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G940ZX] Drainage of Bilateral Adrenal Glands, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G940ZZ] Drainage of Bilateral Adrenal Glands, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9430Z] Drainage of Bilateral Adrenal Glands with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G943ZX] Drainage of Bilateral Adrenal Glands, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G943ZZ] Drainage of Bilateral Adrenal Glands, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9440Z] Drainage of Bilateral Adrenal Glands with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G944ZX] Drainage of Bilateral Adrenal Glands, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G944ZZ] Drainage of Bilateral Adrenal Glands, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9600Z] Drainage of Left Carotid Body with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G960ZX] Drainage of Left Carotid Body, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G960ZZ] Drainage of Left Carotid Body, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9630Z] Drainage of Left Carotid Body with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G963ZX] Drainage of Left Carotid Body, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G963ZZ] Drainage of Left Carotid Body, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9640Z] Drainage of Left Carotid Body with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G964ZX] Drainage of Left Carotid Body, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G964ZZ] Drainage of Left Carotid Body, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9700Z] Drainage of Right Carotid Body with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G970ZX] Drainage of Right Carotid Body, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G970ZZ] Drainage of Right Carotid Body, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9730Z] Drainage of Right Carotid Body with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G973ZX] Drainage of Right Carotid Body, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G973ZZ] Drainage of Right Carotid Body, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9740Z] Drainage of Right Carotid Body with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G974ZX] Drainage of Right Carotid Body, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G974ZZ] Drainage of Right Carotid Body, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9800Z] Drainage of Bilateral Carotid Bodies with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G980ZX] Drainage of Bilateral Carotid Bodies, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G980ZZ] Drainage of Bilateral Carotid Bodies, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9830Z] Drainage of Bilateral Carotid Bodies with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G983ZX] Drainage of Bilateral Carotid Bodies, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G983ZZ] Drainage of Bilateral Carotid Bodies, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9840Z] Drainage of Bilateral Carotid Bodies with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G984ZX] Drainage of Bilateral Carotid Bodies, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G984ZZ] Drainage of Bilateral Carotid Bodies, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9900Z] Drainage of Para-aortic Body with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G990ZX] Drainage of Para-aortic Body, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G990ZZ] Drainage of Para-aortic Body, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9930Z] Drainage of Para-aortic Body with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G993ZX] Drainage of Para-aortic Body, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G993ZZ] Drainage of Para-aortic Body, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9940Z] Drainage of Para-aortic Body with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G994ZX] Drainage of Para-aortic Body, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G994ZZ] Drainage of Para-aortic Body, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9B00Z] Drainage of Coccygeal Glomus with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9B0ZX] Drainage of Coccygeal Glomus, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9B0ZZ] Drainage of Coccygeal Glomus, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9B30Z] Drainage of Coccygeal Glomus with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9B3ZX] Drainage of Coccygeal Glomus, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9B3ZZ] Drainage of Coccygeal Glomus, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9B40Z] Drainage of Coccygeal Glomus with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9B4ZX] Drainage of Coccygeal Glomus, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9B4ZZ] Drainage of Coccygeal Glomus, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9C00Z] Drainage of Glomus Jugulare with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9C0ZX] Drainage of Glomus Jugulare, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9C0ZZ] Drainage of Glomus Jugulare, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9C30Z] Drainage of Glomus Jugulare with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9C3ZX] Drainage of Glomus Jugulare, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9C3ZZ] Drainage of Glomus Jugulare, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9C40Z] Drainage of Glomus Jugulare with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9C4ZX] Drainage of Glomus Jugulare, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9C4ZZ] Drainage of Glomus Jugulare, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9D00Z] Drainage of Aortic Body with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9D0ZX] Drainage of Aortic Body, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9D0ZZ] Drainage of Aortic Body, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9D30Z] Drainage of Aortic Body with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9D3ZX] Drainage of Aortic Body, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9D3ZZ] Drainage of Aortic Body, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9D40Z] Drainage of Aortic Body with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9D4ZX] Drainage of Aortic Body, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9D4ZZ] Drainage of Aortic Body, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9F00Z] Drainage of Paraganglion Extremity with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9F0ZX] Drainage of Paraganglion Extremity, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9F0ZZ] Drainage of Paraganglion Extremity, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9F30Z] Drainage of Paraganglion Extremity with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9F3ZX] Drainage of Paraganglion Extremity, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9F3ZZ] Drainage of Paraganglion Extremity, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9F40Z] Drainage of Paraganglion Extremity with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9F4ZX] Drainage of Paraganglion Extremity, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9F4ZZ] Drainage of Paraganglion Extremity, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9G00Z] Drainage of Left Thyroid Gland Lobe with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9G0ZX] Drainage of Left Thyroid Gland Lobe, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9G0ZZ] Drainage of Left Thyroid Gland Lobe, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9G30Z] Drainage of Left Thyroid Gland Lobe with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9G3ZX] Drainage of Left Thyroid Gland Lobe, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9G3ZZ] Drainage of Left Thyroid Gland Lobe, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9G40Z] Drainage of Left Thyroid Gland Lobe with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9G4ZX] Drainage of Left Thyroid Gland Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9G4ZZ] Drainage of Left Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9H00Z] Drainage of Right Thyroid Gland Lobe with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9H0ZX] Drainage of Right Thyroid Gland Lobe, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9H0ZZ] Drainage of Right Thyroid Gland Lobe, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9H30Z] Drainage of Right Thyroid Gland Lobe with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9H3ZX] Drainage of Right Thyroid Gland Lobe, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9H3ZZ] Drainage of Right Thyroid Gland Lobe, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9H40Z] Drainage of Right Thyroid Gland Lobe with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9H4ZX] Drainage of Right Thyroid Gland Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9H4ZZ] Drainage of Right Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9K00Z] Drainage of Thyroid Gland with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9K0ZX] Drainage of Thyroid Gland, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9K0ZZ] Drainage of Thyroid Gland, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9K30Z] Drainage of Thyroid Gland with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9K3ZX] Drainage of Thyroid Gland, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9K3ZZ] Drainage of Thyroid Gland, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9K40Z] Drainage of Thyroid Gland with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9K4ZX] Drainage of Thyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9K4ZZ] Drainage of Thyroid Gland, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9L00Z] Drainage of Right Superior Parathyroid Gland with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9L0ZX] Drainage of Right Superior Parathyroid Gland, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9L0ZZ] Drainage of Right Superior Parathyroid Gland, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9L30Z] Drainage of Right Superior Parathyroid Gland with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9L3ZX] Drainage of Right Superior Parathyroid Gland, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9L3ZZ] Drainage of Right Superior Parathyroid Gland, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9L40Z] Drainage of Right Superior Parathyroid Gland with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9L4ZX] Drainage of Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9L4ZZ] Drainage of Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9M00Z] Drainage of Left Superior Parathyroid Gland with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9M0ZX] Drainage of Left Superior Parathyroid Gland, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9M0ZZ] Drainage of Left Superior Parathyroid Gland, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9M30Z] Drainage of Left Superior Parathyroid Gland with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9M3ZX] Drainage of Left Superior Parathyroid Gland, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9M3ZZ] Drainage of Left Superior Parathyroid Gland, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9M40Z] Drainage of Left Superior Parathyroid Gland with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9M4ZX] Drainage of Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9M4ZZ] Drainage of Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9N00Z] Drainage of Right Inferior Parathyroid Gland with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9N0ZX] Drainage of Right Inferior Parathyroid Gland, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9N0ZZ] Drainage of Right Inferior Parathyroid Gland, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9N30Z] Drainage of Right Inferior Parathyroid Gland with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9N3ZX] Drainage of Right Inferior Parathyroid Gland, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9N3ZZ] Drainage of Right Inferior Parathyroid Gland, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9N40Z] Drainage of Right Inferior Parathyroid Gland with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9N4ZX] Drainage of Right Inferior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9N4ZZ] Drainage of Right Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9P00Z] Drainage of Left Inferior Parathyroid Gland with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9P0ZX] Drainage of Left Inferior Parathyroid Gland, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9P0ZZ] Drainage of Left Inferior Parathyroid Gland, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9P30Z] Drainage of Left Inferior Parathyroid Gland with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9P3ZX] Drainage of Left Inferior Parathyroid Gland, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9P3ZZ] Drainage of Left Inferior Parathyroid Gland, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9P40Z] Drainage of Left Inferior Parathyroid Gland with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9P4ZX] Drainage of Left Inferior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9P4ZZ] Drainage of Left Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9Q00Z] Drainage of Multiple Parathyroid Glands with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9Q0ZX] Drainage of Multiple Parathyroid Glands, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9Q0ZZ] Drainage of Multiple Parathyroid Glands, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9Q30Z] Drainage of Multiple Parathyroid Glands with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9Q3ZX] Drainage of Multiple Parathyroid Glands, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9Q3ZZ] Drainage of Multiple Parathyroid Glands, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9Q40Z] Drainage of Multiple Parathyroid Glands with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9Q4ZX] Drainage of Multiple Parathyroid Glands, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9Q4ZZ] Drainage of Multiple Parathyroid Glands, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9R00Z] Drainage of Parathyroid Gland with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9R0ZX] Drainage of Parathyroid Gland, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9R0ZZ] Drainage of Parathyroid Gland, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0G9R30Z] Drainage of Parathyroid Gland with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9R3ZX] Drainage of Parathyroid Gland, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9R3ZZ] Drainage of Parathyroid Gland, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0G9R40Z] Drainage of Parathyroid Gland with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0G9R4ZX] Drainage of Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0G9R4ZZ] Drainage of Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0GB] Endocrine System, Excision -- Cutting out or off, without replacement, a portion of a body part
[0GB00ZX] Excision of Pituitary Gland, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB00ZZ] Excision of Pituitary Gland, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB03ZX] Excision of Pituitary Gland, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB03ZZ] Excision of Pituitary Gland, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB04ZX] Excision of Pituitary Gland, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB04ZZ] Excision of Pituitary Gland, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB10ZX] Excision of Pineal Body, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB10ZZ] Excision of Pineal Body, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB13ZX] Excision of Pineal Body, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB13ZZ] Excision of Pineal Body, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB14ZX] Excision of Pineal Body, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB14ZZ] Excision of Pineal Body, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
